"RMSEA","RMSEA_se","N_factors","unidimensional","Tau_chisq_diff","Tau_Df_diff","Tau_p_diff","mean_spec","err_chisq_diff","err_Df_diff","err_p_diff"
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"1","Yes",NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"1","Yes",NA,NA,NA,NA,NA,NA,NA
NA,NA,"1","Yes",NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"1","Yes",NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"1","Yes",NA,NA,NA,NA,NA,NA,NA
