"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"alpha","numeric",670,0,670,0.787408287141805,0.843099697035934,0.843099697035934,NA,0.16741000127752,NA,-0.546874198771879,0.970310895824446,1.51718509459632,-2.66512008441316,-14.1129474522339,10.4017197079265,27.5814172229566,NA,NA
"omega","numeric",515,0.23134328358209,516,0.789112638382914,0.844410574417034,0.844410574417034,NA,0.163381686456789,NA,0.0026400762501576,0.970381034344994,0.967740958094837,-2.35598845029334,-10.9453782741926,6.74289772582009,15.6929444409609,NA,NA
"ASE","numeric",669,0.00149253731343284,670,0.0624957785853707,0.0514507940797807,0.0514507940797807,NA,0.0465021080504014,NA,0.00766982111059676,0.538310324381241,0.530640503270645,3.91579624741208,20.7203997451848,29.8388413361077,79.0626621614645,NA,NA
"tau","numeric",670,0,12,0.0200579672367399,0.00314288862818944,0.00314288862818944,NA,0.0267280417487266,NA,0,0.10753397461391,0.10753397461391,1.587403741201,8.40597979658471,2.13623271650674,5.66447928743964,NA,NA
"QEp","numeric",670,0,19,0.569533560552666,0.807014897763548,0.807014897763548,NA,0.416008417014623,NA,1.93357244289412e-22,0.999999999896781,0.999999999896781,-0.37849342901841,-2.0042841243789,-1.60701831148718,-4.26120331816695,NA,NA
"pi.lb","numeric",670,0,19,0.757503694216614,0.838601395469763,0.838601395469763,NA,0.189318562495668,NA,-0.013313423569062,0.943960971413494,0.957274394982556,-2.39247799129365,-12.6691912943158,6.39263395463882,16.9508417076622,NA,NA
"pi.ub","numeric",670,0,19,0.853840739258903,0.871702700066312,0.871702700066312,NA,0.0980847237892217,NA,0.434258310376892,0.960570370293668,0.526312059916775,-2.52584889196521,-13.3754470926354,7.99929006826244,21.2110846144094,NA,NA
"g","factor",670,0,20,NA,NA,74,"Anderson et al. (2012), NA",NA,0.922962797950546,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reporting_index","numeric",670,0,17,33.7805970149254,31,31,NA,15.5209847707195,NA,10,76,66,0.418971132437599,2.2186308266844,-0.151324242845291,-0.401254522815436,NA,NA
"replication_success","factor",670,0,3,NA,NA,489,"No",NA,0.394337268879483,NA,NA,NA,NA,NA,NA,NA,NA,NA
