"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"alpha","numeric",19,0,19,0.725882635797241,0.80831068096506,0.80831068096506,NA,0.184408104721298,NA,0.199459256479055,0.948926425739165,0.74946716926011,-1.12859640146565,-1.07738465639095,0.918890122820924,0.452981092101083,NA,NA
"omega","numeric",16,0.157894736842105,17,0.730076053338232,0.782687561329727,0.782687561329727,NA,0.191398869280423,NA,0.199364571473762,0.9500656452435,0.750701073769738,-1.20024561832161,-1.06346736349371,1.03865759274615,0.476110407653793,NA,NA
"ASE","numeric",18,0.0526315789473684,19,0.0671686904512011,0.0610269515886673,0.0610269515886673,NA,0.0331741199516149,NA,0.0132749742708538,0.140841025278851,0.127566051007997,0.505043508520804,0.470878540265046,-0.663821998260599,-0.319823252860017,NA,NA
"tau","numeric",19,0,12,0.0261737650516097,0.0165003595214473,0.0165003595214473,NA,0.0324867368148838,NA,0,0.10753397461391,0.10753397461391,1.02593122029285,0.979378060944138,-0.0666636792553326,-0.0328628913105009,NA,NA
"QEp","numeric",19,0,19,0.531288295865329,0.552473292473358,0.552473292473358,NA,0.403779119317767,NA,1.93357244289412e-22,0.999999999896781,0.999999999896781,-0.117039991044808,-0.111729126880127,-1.73492055339549,-0.855255908696778,NA,NA
"pi.lb","numeric",19,0,19,0.672513796883006,0.776258600396184,0.776258600396184,NA,0.245505783923016,NA,-0.013313423569062,0.943960971413494,0.957274394982556,-1.1151442773394,-1.06454294246144,0.650661536653453,0.320753663731446,NA,NA
"pi.ub","numeric",19,0,19,0.808072620240394,0.850363470202865,0.850363470202865,NA,0.12802443994533,NA,0.434258310376892,0.960570370293668,0.526312059916775,-1.24658781794486,-1.1900220363573,1.28614473567068,0.634024931267764,NA,NA
"g","factor",19,0,20,NA,NA,1,"Albarracín et al. (2008), exp 5 math",NA,0.947368421052632,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reporting_index","numeric",19,0,17,43,42,42,NA,21.6820458239326,NA,10,76,66,-0.106048315566874,-0.10123621507164,-1.42123831578475,-0.700621400133977,NA,NA
"replication_success","factor",19,0,3,NA,NA,13,"No",NA,0.43213296398892,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coefficient_reported","numeric",9,0.526315789473684,9,0.805555555555556,0.8,0.8,NA,0.0574697988318889,NA,0.72,0.89,0.17,0.046295670166203,0.0322781138580568,-1.41496474224431,-0.505449819951895,NA,NA
"coeficient_difference","numeric",9,0.526315789473684,10,-0.0481704185722061,-0.0553050497502247,-0.0553050497502247,NA,0.0940077608584798,NA,-0.148926425739165,0.148523374146831,0.297449799885995,0.768672640387103,0.535931393085243,-0.559491519854194,-0.199860024445815,NA,NA
"significance_reported_coefficient","logical",9,0.526315789473684,3,NA,NA,10,NA,NA,0.493827160493827,NA,NA,NA,NA,NA,NA,NA,NA,NA
