"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"alpha","numeric",669,0,669,0.789402730319554,0.843124733452905,0.843124733452905,NA,0.159370466718387,NA,0.00351797680912747,0.970310895824446,0.966792919015318,-2.25405583104868,-11.9273156508489,6.10981218608462,16.1888999407582,NA,NA
"omega","numeric",515,0.230194319880419,516,0.789112638382914,0.844410574417034,0.844410574417034,NA,0.163381686456789,NA,0.0026400762501576,0.970381034344994,0.967740958094837,-2.35598845029334,-10.9453782741926,6.74289772582009,15.6929444409609,NA,NA
"ASE","numeric",668,0.00149476831091181,669,0.0618191835770954,0.0513475000387289,0.0513475000387289,NA,0.0431158159963528,NA,0.00766982111059676,0.538310324381241,0.530640503270645,3.24278907990554,17.1464164008078,23.6284631428487,62.5608329885248,NA,NA
"tau","numeric",669,0,12,0.0200290563530739,0.00314288862818944,0.00314288862818944,NA,0.0267375542740256,NA,0,0.10753397461391,0.10753397461391,1.59075353528182,8.41745766748942,2.14305774680854,5.67836561480021,NA,NA
"QEp","numeric",669,0,19,0.570384881270981,0.807014897763548,0.807014897763548,NA,0.415735218612933,NA,1.93357244289412e-22,0.999999999896781,0.999999999896781,-0.382097941648514,-2.02186773584093,-1.603425658481,-4.24852626513023,NA,NA
"pi.lb","numeric",669,0,19,0.757475659977182,0.838601395469763,0.838601395469763,NA,0.189458823280758,NA,-0.013313423569062,0.943960971413494,0.957274394982556,-2.39029476918751,-12.6482227360838,6.37743372146984,16.8980049224483,NA,NA
"pi.ub","numeric",669,0,19,0.85372282732821,0.871702700066312,0.871702700066312,NA,0.0981105807322065,NA,0.434258310376892,0.960570370293668,0.526312059916775,-2.52480176811863,-13.3599652809672,7.99135249462409,21.1743343308403,NA,NA
"g","factor",669,0,20,NA,NA,74,"Anderson et al. (2012), PA",NA,0.92299820583116,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reporting_index","numeric",669,0,17,33.7727952167414,31,31,NA,15.531283134301,NA,10,76,66,0.420211281592431,2.22354412280412,-0.153801656358618,-0.407521467056444,NA,NA
"replication","factor",669,0,3,NA,NA,489,"No",NA,0.393331858674013,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avg.alpha","numeric",669,0,19,0.787377042905896,0.825305049750225,0.825305049750225,NA,0.142104310182256,NA,0.199459256479055,0.948926425739165,0.74946716926011,-2.37359321101814,-12.5598465949949,6.78951589536098,17.9898808880774,NA,NA
