"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"alpha","numeric",515,0,515,0.782350589422876,0.839877796875676,0.839877796875676,NA,0.166451912884101,NA,0.00351797680912747,0.970310895824446,0.966792919015318,-2.21358057389584,-10.283784166547,5.88178091460574,13.6888419282062,NA,NA
"omega","numeric",515,0,515,0.789112638382914,0.844410574417034,0.844410574417034,NA,0.163381686456789,NA,0.0026400762501576,0.970381034344994,0.967740958094837,-2.35598845029334,-10.9453782741926,6.74289772582009,15.6929444409609,NA,NA
"ASE","numeric",514,0.00194174757281553,515,0.0657969166721509,0.0564470777493507,0.0564470777493507,NA,0.0444532349456302,NA,0.00917997109811456,0.538310324381241,0.529130353283127,3.50917445244845,16.2870699871655,25.9665043028452,60.3744694427735,NA,NA
"tau","numeric",515,0,9,0.0155375682981652,0,0,NA,0.027186179244747,NA,0,0.10753397461391,0.10753397461391,2.07301569528676,9.63075220102493,3.70891073738618,8.63185717846637,NA,NA
"QEp","numeric",515,0,16,0.734389282598028,0.867461804808005,0.867461804808005,NA,0.327802102812249,NA,9.20452561489405e-07,0.999999999896781,0.999999079444219,-1.23096927148226,-5.71879896890118,0.237760266101561,0.553346468820435,NA,NA
"pi.lb","numeric",515,0,16,0.756507472417696,0.838601395469763,0.838601395469763,NA,0.203318401033087,NA,-0.013313423569062,0.943960971413494,0.957274394982556,-2.34444006187313,-10.8917271284492,5.87542518017193,13.6740500402958,NA,NA
"pi.ub","numeric",515,0,16,0.839045969297772,0.867548490762455,0.867548490762455,NA,0.102424203070522,NA,0.434258310376892,0.960570370293668,0.526312059916775,-2.50543762501266,-11.6396846278019,7.35321757839981,17.1133598064608,NA,NA
"g","factor",515,0,17,NA,NA,74,"Anderson et al. (2012), SWL",NA,0.90549533415025,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reporting_index","numeric",515,0,15,32.4271844660194,30,30,NA,16.4501380440482,NA,10,73,63,0.414076222735321,1.92370250865305,-0.610537261987636,-1.42092134881715,NA,NA
"replication","logical",515,0,3,NA,NA,394,"FALSE",NA,0.359498538976341,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avg.omega","numeric",515,0,16,0.789112638382914,0.834003086655711,0.834003086655711,NA,0.151920389845422,NA,0.199364571473762,0.9500656452435,0.750701073769738,-2.40400905546127,-11.1684709164562,6.61834938666801,15.4030794235748,NA,NA
