"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"many_labs_version","numeric",112,0,4,2.39285714285714,2,2,NA,1.24014778876009,NA,1,5,4,1.02992232334948,2.25430583109784,0.146318168764285,0.16146637418804,NA,NA
"rep_org","factor",112,0,3,NA,NA,57,"Replication",NA,0.49984056122449,NA,NA,NA,NA,NA,NA,NA,NA,NA
"title","character",112,0,113,NA,NA,1," INCIDENTAL ENVIRONMENTAL ANCHORS (Critcher & Gilovich, 2008, Study 2)",NA,0.991071428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA
"measure_name","character",112,0,113,NA,NA,1," ambiguous temporal statement from Boroditsky (2000)",NA,0.991071428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA
"variable_name","character",112,0,95,NA,NA,4,"framing effect",NA,0.987723214285714,NA,NA,NA,NA,NA,NA,NA,NA,NA
"multi","factor",112,0,3,NA,NA,92,"False",NA,0.293367346938776,NA,NA,NA,NA,NA,NA,NA,NA,NA
"appearance","factor",112,0,2,NA,NA,112,"1",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","numeric",110,0.0178571428571429,108,2708.71818181818,710.5,710.5,NA,3008.10537199484,NA,30,8002,7972,0.5642942273707,1.22434266578106,-1.44328986935807,-1.57901775987431,NA,NA
"N_items","factor",112,0,4,NA,NA,57,"1 item measure",NA,0.532366071428572,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hypothesis_support","factor",112,0,4,NA,NA,56,"Yes",NA,0.517219387755102,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reliability_type","factor",112,0,6,NA,NA,59,"",NA,0.576371173469388,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reliability_type_text","character",55,0.508928571428571,3,NA,NA,57,NA,NA,0.035702479338843,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reliability_coeff","numeric",8,0.928571428571429,8,0.7775,0.795,0.795,NA,0.0797764734385126,NA,0.63,0.88,0.25,-0.486919204314494,-0.323705808080808,-1.09151708111795,-0.368536521554395,NA,NA
"def1","logical",103,0.0803571428571429,3,NA,NA,69,"TRUE",NA,0.442266000565558,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_version","character",112,0,15,NA,NA,99,"",NA,0.217633928571429,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_1","logical",110,0.0178571428571429,3,NA,NA,89,"TRUE",NA,0.308925619834711,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_2","logical",112,0,3,NA,NA,63,"TRUE",NA,0.4921875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_3","logical",112,0,3,NA,NA,95,"TRUE",NA,0.25749362244898,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_4","logical",112,0,3,NA,NA,84,"TRUE",NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_5","logical",112,0,3,NA,NA,74,"TRUE",NA,0.448341836734694,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_existing","factor",112,0,4,NA,NA,75,"True, namely:",NA,0.488042091836735,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_existing_text","character",112,0,77,NA,NA,37,"",NA,0.884885204081633,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_1","logical",112,0,3,NA,NA,77,"TRUE",NA,0.4296875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_2","logical",112,0,3,NA,NA,84,"TRUE",NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_3","logical",51,0.544642857142857,3,NA,NA,61,NA,NA,0.0753556324490581,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_4","logical",52,0.535714285714286,3,NA,NA,60,NA,NA,0.260355029585799,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_psychometric_evidence","factor",112,0,4,NA,NA,59,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",NA,0.506855867346939,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_1","logical",112,0,3,NA,NA,101,"TRUE",NA,0.177136479591837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_2","logical",96,0.142857142857143,3,NA,NA,80,"TRUE",NA,0.277777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_3","logical",28,0.75,3,NA,NA,84,NA,NA,0.497448979591837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quant_4","logical",61,0.455357142857143,3,NA,NA,51,NA,NA,0.493415748454717,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_check","factor",112,0,4,NA,NA,48,"True",NA,0.637117346938776,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_1","logical",35,0.6875,3,NA,NA,77,NA,NA,0.431020408163265,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_2","logical",26,0.767857142857143,3,NA,NA,86,NA,NA,0.310650887573964,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_3","logical",39,0.651785714285714,3,NA,NA,73,NA,NA,0.497041420118343,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_4","logical",25,0.776785714285714,3,NA,NA,87,NA,NA,0.1472,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_5","logical",22,0.803571428571429,3,NA,NA,90,NA,NA,0.351239669421488,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_6","logical",17,0.848214285714286,3,NA,NA,95,NA,NA,0.498269896193772,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_time","factor",112,0,5,NA,NA,63,"",NA,0.514508928571429,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_1_REV","logical",112,0,3,NA,NA,109,"TRUE",NA,0.0521364795918369,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_2_REV","logical",112,0,3,NA,NA,94,"TRUE",NA,0.269770408163265,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_5_REV","logical",112,0,3,NA,NA,82,"TRUE",NA,0.392219387755102,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_1_REV","logical",112,0,3,NA,NA,109,"TRUE",NA,0.0521364795918369,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_3_REV","logical",44,0.607142857142857,3,NA,NA,68,NA,NA,0.201446280991735,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sel_psychometric_evidence_REV","factor",112,0,5,NA,NA,68,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",NA,0.503029336734694,NA,NA,NA,NA,NA,NA,NA,NA,NA
