"many_labs_version","rep_org","title","measure_name","variable_name","multi","appearance","N","N_items","hypothesis_support","reliability_type","reliability_type_text","reliability_coeff","def1","op_version","op_1","op_2","op_3","op_4","op_5","sel_existing","sel_existing_text","sel_1","sel_2","sel_3","sel_4","sel_psychometric_evidence","quant_1","quant_2","quant_3","quant_4","mod_check","mod_1","mod_2","mod_3","mod_4","mod_5","mod_6","mod_time","op_1_REV","op_2_REV","op_5_REV","sel_1_REV","sel_3_REV","sel_psychometric_evidence_REV","sel_psychometric_evidence_text_REV","quant_1_REV","quant_2_REV","quant_3_REV","mod_check_REV","mod_1_REV","mod_2_REV","mod_3_REV","mod_4_REV","mod_5_REV","mod_6_REV","inseperable_material","def_count","def_total","def_ratio","op_count","op_total","op_ratio","sel_count","sel_total","sel_ratio","quant_count","quant_total","quant_ratio","mod_count","mod_total","mod_ratio","MP_total","MP_count","QMP_ratio","op_REV_count","op_REV_total","op_REV_ratio","sel_REV_count","sel_REV_total","sel_REV_ratio","quant_REV_count","quant_REV_total","quant_REV_ratio","mod_REV_count","mod_REV_total","mod_REV_ratio","MP_REV_count","MP_REV_total","QMP_REV_ratio"
1,"Original","Instructional manipulation checks: Detecting satisficing to increase statistical power","sunk cost question adapted from Thaler (1985)","sunk cost effect","False","1",213,"1 item measure","Yes","","",NA,FALSE,"",TRUE,FALSE,TRUE,TRUE,TRUE,"True, namely:","sunk cost question adapted from Thaler (1985)",TRUE,TRUE,NA,NA,"None",TRUE,TRUE,NA,NA,"None Reported",NA,NA,NA,NA,NA,NA,"",TRUE,FALSE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"True",0,1,1,4,5,0.2,2,2,0,2,2,0,0,0,NA,10,8,0.203896103896104,4,5,0.2,2,2,0,2,2,0,0,0,NA,8,10,0.203896103896104
1,"Original","the framing of decisions and the psychology of choice","asian disease problem","framing effect","False","1",307,"1 item measure","Yes","","",NA,TRUE,"",TRUE,FALSE,FALSE,TRUE,TRUE,"Not Clearly Stated","",FALSE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"False",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"True",1,1,0,3,5,0.4,1,2,0.5,2,2,0,0,0,NA,10,7,0.302597402597403,4,5,0.2,2,2,0,2,2,0,0,0,NA,9,10,0.105194805194805
1,"Original","Measures of Anchoring in Estimation Tasks","set of quantity questions","anchor effect","False","1",103,"multiple item measure","Yes","Not Reported","",NA,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,"Not Clearly Stated","",FALSE,FALSE,FALSE,FALSE,"None",TRUE,NA,NA,TRUE,"None Reported",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,FALSE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"False",1,1,0,2,5,0.6,0,4,1,2,2,0,0,0,NA,12,5,0.582218181818182,3,5,0.4,1,3,0.6667,3,3,0,0,0,NA,8,12,0.335464935064935
1,"Original","The retrospective gambler’s fallacy","dice roll retrospective observation scenario from this study","retrospective gambler's fallacy","False","1",80,"1 item measure","Yes","","",NA,TRUE,"",TRUE,FALSE,TRUE,TRUE,FALSE,"True, namely:","dice roll retrospective observation scenario from this study",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,FALSE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"True",1,1,0,3,5,0.4,2,2,0,1,1,0,0,0,NA,9,7,0.225807792207792,4,5,0.2,2,2,0,2,2,0,0,0,NA,9,10,0.105194805194805
1,"Original","Response Scales: Effects of Category Range on Reported Behavior and Comparative Judgments","daily tv consumption quesiton from this study","effects of category range on judgements","False","1",132,"1 item measure","Yes","","",NA,TRUE,"",FALSE,FALSE,TRUE,FALSE,TRUE,"False, materials were newly developped for this study","",FALSE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"None Reported",NA,NA,NA,NA,NA,NA,"",TRUE,FALSE,FALSE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"False",1,1,0,2,5,0.6,1,2,0.5,2,2,0,0,0,NA,10,6,0.401298701298701,2,5,0.6,2,2,0,2,2,0,0,0,NA,7,10,0.302597402597403
1,"Original","the current status of american public opinion","question of letting american and russian newspapers be published across countries","order effects","False","1",1202,"1 item measure","Yes","","",NA,TRUE,"",FALSE,FALSE,TRUE,FALSE,TRUE,"Not Clearly Stated","",TRUE,FALSE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"None Reported",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"False",1,1,0,2,5,0.6,1,2,0.5,2,2,0,0,0,NA,10,6,0.401298701298701,4,5,0.2,1,2,0.5,2,2,0,0,0,NA,8,10,0.203896103896104
1,"Original","Experiments in Wording Questions: II","allowing speeches or forbidding them questions from this paper","wording effect","False","1",NA,"1 item measure","Yes","","",NA,FALSE,"",TRUE,FALSE,FALSE,FALSE,TRUE,"True, namely:","daily tv consumption quesiton prepared by the quarterly and Mr. Elmo Roper",TRUE,FALSE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"False",NA,NA,NA,NA,NA,NA,"",TRUE,FALSE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"False",0,1,1,2,5,0.6,1,2,0.5,2,2,0,0,0,NA,10,5,0.5,2,5,0.6,1,2,0.5,2,2,0,0,0,NA,5,10,0.5
1,"Original","Prestige, Suggestion, and Attitudes","quote attribution question from this study","quote attribution effect","True","1",99,"1 item measure","Yes","Not Reported","",NA,TRUE,"",TRUE,FALSE,FALSE,TRUE,TRUE,"False, materials were newly developped for this study","",TRUE,TRUE,NA,NA,"None",TRUE,TRUE,TRUE,TRUE,"False",NA,NA,NA,NA,NA,NA,"",TRUE,FALSE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,FALSE,"False",NA,NA,NA,NA,NA,NA,"True",1,1,0,3,5,0.4,2,2,0,4,4,0,0,0,NA,12,10,0.171028571428571,3,5,0.4,2,2,0,3,4,0.25,0,0,NA,9,12,0.253246753246753
1,"Original","A Single Exposure to the American Flag Shifts Support Toward Republicanism up to 8 Months Later","inention of voting scale from this study","intention to vote","False","1",388,"1 item measure","No","","",NA,TRUE,"",TRUE,FALSE,TRUE,TRUE,TRUE,"False, materials were newly developped for this study","",FALSE,TRUE,NA,NA,"None",TRUE,TRUE,NA,NA,"False",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"True",1,1,0,4,5,0.2,1,2,0.5,2,2,0,0,0,NA,10,8,0.203896103896104,5,5,0,2,2,0,2,2,0,0,0,NA,10,10,0.00649350649350649
1,"Original","Mere Exposure to Money Increases Endorsement of Free-Market Systems and Social Inequality"," System Justification scale from (Kay & Jost, 2003","system justification","False","1",197,"multiple item measure","No","alpha","",0.88,FALSE," System Justification scale from (Kay & Jost, 2003",TRUE,TRUE,TRUE,TRUE,TRUE,"True, namely:"," System Justification scale from (Kay & Jost, 2003",TRUE,FALSE,FALSE,TRUE,"None",TRUE,TRUE,FALSE,FALSE,"None Reported",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,TRUE,TRUE,FALSE,"None","",TRUE,TRUE,FALSE,"False",NA,NA,NA,NA,NA,NA,"True",0,1,1,5,5,0,2,4,0.5,2,4,0.5,0,0,NA,14,9,0.358955844155844,5,5,0,2,4,0.5,2,4,0.5,0,0,NA,9,14,0.358955844155844
