"many_labs_version","rep_org","title","measure_name","variable_name","multi","appearance","N","N_items","hypothesis_support","reliability_type","reliability_coeff","def1","op_version","op_1","op_2","op_3","op_4","op_5","sel_existing","sel_existing_text","sel_1","sel_2","sel_3","sel_4","sel_psychometric_evidence","quant_1","quant_2","quant_3","quant_4","mod_check","mod_1","mod_2","mod_3","mod_4","mod_5","mod_6","mod_time","op_1_REV","op_2_REV","op_5_REV","sel_1_REV","sel_3_REV","sel_psychometric_evidence_REV","sel_psychometric_evidence_text_REV","quant_1_REV","quant_2_REV","quant_3_REV","mod_check_REV","mod_1_REV","mod_2_REV","mod_3_REV","mod_4_REV","mod_5_REV","mod_6_REV","inseperable_material","def_count","def_total","def_ratio","op_count","op_total","op_ratio","sel_count","sel_total","sel_ratio","quant_count","quant_total","quant_ratio","mod_count","mod_total","mod_ratio","MP_total","MP_count","QMP_ratio","op_REV_count","op_REV_total","op_REV_ratio","sel_REV_count","sel_REV_total","sel_REV_ratio","quant_REV_count","quant_REV_total","quant_REV_ratio","mod_REV_count","mod_REV_total","mod_REV_ratio","MP_REV_count","MP_REV_total","QMP_REV_ratio"
"1","Replication","1	Sunk costs (Oppenheimer et al., 2009)","likelihood of attending a game rating","likelihood of attending a game","False","1",6330,"1 item measure",TRUE,"",NA,TRUE,"",TRUE,TRUE,FALSE,FALSE,TRUE,"True, namely:","Oppenheimer's adapted task",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"True",TRUE,FALSE,FALSE,NA,NA,NA,"Before",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"True",TRUE,NA,TRUE,NA,NA,NA,"True",1,1,0,3,5,0.4,2,2,0,2,2,0,1,3,0.6667,13,9,0.310197402597403,3,5,0.4,2,2,0,2,2,0,2,2,0,10,12,0.171028571428571
"1","Replication","Gain versus loss framing for combating disease (Tversky & Kahneman, 1981)","Asian disease problem","program adoption preference","True","1",6271,"1 item measure",TRUE,"",NA,TRUE,"",TRUE,FALSE,TRUE,TRUE,TRUE,"True, namely:","Asian Disease Problem",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"True",TRUE,FALSE,TRUE,FALSE,NA,NA,"Before",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"True",TRUE,NA,TRUE,NA,NA,NA,"True",1,1,0,4,5,0.2,2,2,0,2,2,0,2,4,0.5,14,11,0.21801038961039,5,5,0,2,2,0,2,2,0,2,2,0,12,12,0.00649350649350649
"1","Replication","Anchoring (Jacowitz & Kahneman, 1995)","estimation in scenarios","quantitative judgement","False","1",5284,"multiple item measure",TRUE,"Not Reported",NA,TRUE,"",TRUE,FALSE,TRUE,TRUE,TRUE,"True, namely:","Anchoring scenarios developped in (Jacowitz & Kahneman, 1995)",TRUE,TRUE,FALSE,FALSE,"None",TRUE,NA,NA,FALSE,"True",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Before",TRUE,TRUE,TRUE,TRUE,FALSE,"None","",TRUE,TRUE,NA,"True",TRUE,NA,TRUE,NA,TRUE,FALSE,"False",1,1,0,4,5,0.2,2,4,0.5,1,2,0.5,3,6,0.5,18,11,0.390342857142857,5,5,0,2,4,0.5,2,3,0.3333,3,4,0.25,13,17,0.238737662337662
"1","Replication","Retrospective gambler’s fallacy (Oppenheimer & Monin, 2009)","dice restrospect scenario","number of dice rolls by imagined man","False","1",5940,"1 item measure",TRUE,"",NA,TRUE,"",FALSE,FALSE,TRUE,FALSE,TRUE,"True, namely:","the reptrospective dice scenario from (Oppenheimer & Monin, 2009)",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"True",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Before",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"True",TRUE,NA,TRUE,NA,TRUE,FALSE,"True",1,1,0,2,5,0.6,2,2,0,2,2,0,3,6,0.5,16,10,0.376623376623377,4,5,0.2,2,2,0,2,2,0,3,4,0.25,12,14,0.147537662337662
"1","Replication","Low-vs.-high category scales (Schwarz et al., 1985)","TV watching daily on different scales","Tv watching time","False","1",5899,"1 item measure",TRUE,"",NA,TRUE,"",TRUE,FALSE,TRUE,TRUE,TRUE,"True, namely:","Two TV daily watch time questions from (Schwarz et al., 1985)",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,NA,NA,NA,"True",TRUE,FALSE,TRUE,FALSE,NA,NA,"Before",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"True",TRUE,NA,TRUE,NA,NA,NA,"False",1,1,0,4,5,0.2,2,2,0,1,1,0,2,4,0.5,13,10,0.234296103896104,5,5,0,2,2,0,2,2,0,2,2,0,12,12,0.00649350649350649
"1","Replication","Norm of reciprocity (Hyman and Sheatsley, 1950). ","two questions about allowing news reporting with order effects","in or outgroup favoritism","False","1",6276,"1 item measure",TRUE,"",NA,TRUE,"",TRUE,FALSE,TRUE,TRUE,TRUE,"True, namely:","two counterbalanced questions from (Hyman & Sheatsley, 1950)",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"True",TRUE,FALSE,FALSE,FALSE,NA,NA,"Before",TRUE,TRUE,FALSE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"True",TRUE,NA,TRUE,FALSE,NA,NA,"False",1,1,0,4,5,0.2,2,2,0,2,2,0,1,4,0.75,14,10,0.288483116883117,4,5,0.2,2,2,0,2,2,0,2,3,0.3333,11,13,0.158296103896104
"1","Replication","Allowed/Forbidden (Rugg, 1941)","two different frame forbidding speeches question","wording effect","False","1",6292,"1 item measure",TRUE,"",NA,FALSE,"",TRUE,FALSE,TRUE,TRUE,TRUE,"True, namely:","two item question wording test from Allowed/Forbidden (Rugg, 1941)",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"True",TRUE,FALSE,TRUE,FALSE,NA,NA,"Before",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"True",TRUE,NA,TRUE,TRUE,NA,NA,"False",0,1,1,4,5,0.2,2,2,0,2,2,0,2,4,0.5,14,10,0.288483116883117,5,5,0,2,2,0,2,2,0,3,3,0,12,13,0.0823948051948052
"1","Replication","Quote Attribution (Lorge & Curtis, 1936). ","attributed quote rating question","quote attribution effect","False","1",6325,"1 item measure",TRUE,"",NA,FALSE,"",NA,FALSE,TRUE,TRUE,TRUE,"False, materials were newly developped for this study","",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"True",TRUE,FALSE,FALSE,NA,TRUE,FALSE,"Before",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"True",TRUE,NA,TRUE,NA,TRUE,FALSE,"True",0,1,1,3,4,0.25,2,2,0,2,2,0,2,5,0.6,14,9,0.358955844155844,5,5,0,2,2,0,2,2,0,3,4,0.25,12,14,0.147537662337662
"1","Replication","Flag Priming (Carter et al., 2011; Study 2)","flag priming voting intention question","priming","False","1",4896,"1 item measure",FALSE,"",NA,FALSE,"",TRUE,FALSE,TRUE,TRUE,TRUE,"True, namely:","flag primed voting preference question from Flag Priming (Carter et al., 2011; Study 2)",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"True",TRUE,FALSE,FALSE,FALSE,NA,NA,"Before",TRUE,TRUE,FALSE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"True",NA,NA,TRUE,NA,NA,NA,"True",0,1,1,4,5,0.2,2,2,0,2,2,0,1,4,0.75,14,9,0.358955844155844,4,5,0.2,2,2,0,2,2,0,1,1,0,9,11,0.185932467532468
"1","Replication","Currency priming and system justification (Caruso et al., 2012)","system justification scale","system justification","False","1",6333,"multiple item measure",FALSE,"Not Reported",NA,FALSE,"system justification scale from (Kay & Jost, 2003)",TRUE,FALSE,TRUE,TRUE,TRUE,"True, namely:","system justification scale (Kay & Jost, 2003)",TRUE,TRUE,FALSE,FALSE,"None",TRUE,TRUE,TRUE,FALSE,"True",TRUE,FALSE,TRUE,FALSE,NA,NA,"Before",TRUE,TRUE,TRUE,TRUE,FALSE,"None","",TRUE,TRUE,TRUE,"True",NA,NA,TRUE,TRUE,NA,NA,"True",0,1,1,4,5,0.2,2,4,0.5,3,4,0.25,2,4,0.5,18,11,0.390342857142857,5,5,0,2,4,0.5,3,4,0.25,2,2,0,12,16,0.253246753246753
"1","Replication","Imagined contact (Husnu & Crisp, 2010, Study 1). ","composite index of intentions to engage in contact with muslims","intentions to engage in contact with muslims","True","1",6336,"multiple item measure",TRUE,"alpha",0.82,TRUE,"composite index of intentions from (Husnu & Crisp, 2010, Study 1)",TRUE,FALSE,TRUE,TRUE,TRUE,"True, namely:","composite index of intentions from (Husnu & Crisp, 2010, Study 1)",TRUE,TRUE,FALSE,FALSE,"None",TRUE,TRUE,TRUE,FALSE,"True",TRUE,FALSE,TRUE,FALSE,NA,NA,"Before",TRUE,TRUE,TRUE,TRUE,FALSE,"None","",TRUE,TRUE,TRUE,"True",TRUE,NA,TRUE,TRUE,NA,NA,"True",1,1,0,4,5,0.2,2,4,0.5,3,4,0.25,2,4,0.5,18,12,0.335464935064935,5,5,0,2,4,0.5,3,4,0.25,3,3,0,14,17,0.180701298701299
"1","Replication","Sex differences in implicit math attitudes and relations with self-reported attitudes (Nosek, Banaji, & Greenwald, 2002).","implicit math atittudes association test","implicit math attitudes","False","1",5842,"multiple item measure",TRUE,"Not Reported",NA,TRUE,"",FALSE,FALSE,TRUE,TRUE,FALSE,"True, namely:","math attitudes IAT ",FALSE,TRUE,FALSE,FALSE,"None",FALSE,FALSE,FALSE,TRUE,"True",NA,NA,FALSE,FALSE,TRUE,FALSE,"Before",TRUE,TRUE,FALSE,TRUE,FALSE,"None","",FALSE,NA,NA,"True",NA,NA,NA,NA,TRUE,TRUE,"True",1,1,0,2,5,0.6,1,4,0.75,1,4,0.75,1,4,0.75,18,6,0.664535064935065,4,5,0.2,2,4,0.5,1,2,0.5,2,2,0,10,14,0.288483116883117
"1","Replication","Sex differences in implicit math attitudes and relations with self-reported attitudes (Nosek, Banaji, & Greenwald, 2002)","feeling thermometers ","feelings of warmth toward math and arts","False","2",5623,"1 item measure",TRUE,"",NA,FALSE,"",FALSE,FALSE,TRUE,TRUE,TRUE,"True, namely:","feeling thermometers ",FALSE,TRUE,NA,NA,"None",FALSE,TRUE,NA,NA,"None Reported",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,TRUE,TRUE,TRUE,"Other, namely:","convergent validity",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"False",0,1,1,3,5,0.4,1,2,0.5,1,2,0.5,0,0,NA,10,5,0.5,5,5,0,3,3,0,2,2,0,0,0,NA,10,11,0.096212987012987
"1","Replication","Sex differences in implicit math attitudes and relations with self-reported attitudes (Nosek, Banaji, & Greenwald, 2002)","semantic differential scales measuring attitudes toward math and arts","attitudes toward math and arts","False","3",5623,"multiple item measure",TRUE,"Not Reported",NA,TRUE,"",TRUE,FALSE,TRUE,TRUE,FALSE,"True, namely:","semantic differential scales measuring attitudes toward math and arts",FALSE,TRUE,FALSE,FALSE,"None",TRUE,TRUE,NA,FALSE,"True",NA,NA,FALSE,FALSE,TRUE,FALSE,"Before",TRUE,TRUE,TRUE,TRUE,TRUE,"Other, namely:","convergent validitiy",TRUE,TRUE,TRUE,"False",NA,NA,NA,NA,NA,NA,"False",1,1,0,3,5,0.4,1,4,0.75,2,3,0.3333,1,4,0.75,17,8,0.529018181818182,5,5,0,3,4,0.25,3,4,0.25,0,0,NA,12,14,0.147537662337662
"2","Replication","LIVING IN THE NORTH IS NOT NECESSARILY FAVORABLE: DIFFERENT METAPHORIC ASSOCIATIONS BETWEEN CARDINAL DIRECTION AND VALENCE IN HONG KONG AND IN THE UNITED STATES (Huang, Tse & Cho, 2014, Study 1a)","fictional city house placement two hypothetical descriptions","cardinal location","False","1",6591,"1 item measure",TRUE,"",NA,NA,"map (originally from Meier et al., 2011",TRUE,TRUE,TRUE,TRUE,FALSE,"True, namely:","fictional city map (originally from Meier et al., 2011",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,NA,NA,TRUE,"True",TRUE,TRUE,FALSE,FALSE,NA,NA,"Before",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"True",TRUE,TRUE,TRUE,TRUE,NA,NA,"True",0,0,0,4,5,0.2,2,2,0,2,2,0,2,4,0.5,13,10,0.234296103896104,5,5,0,2,2,0,3,3,0,4,4,0,14,14,0.00649350649350649
"2","Replication","A FUNCTIONAL BASIS FOR STRUCTURE-SEEKING: EXPOSURE TO STRUCTURE PROMOTES WILLINGNESS TO ENGAGE IN MOTIVATED ACTION (Kay, Laurin, Fitzsimons & Landau, 2014, Study 2)","three questions about their most important goal on a scale ","goal pursuit willingness","False","1",6506,"multiple item measure",FALSE,"Not Reported",NA,FALSE,"",TRUE,TRUE,TRUE,TRUE,TRUE,"True, namely:","three questions about their most important goal on a scale from Kay, Laurin, Fitzsimons, and Landau (2014)",FALSE,TRUE,FALSE,FALSE,"None",TRUE,TRUE,TRUE,TRUE,"False",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,TRUE,TRUE,FALSE,"None","",TRUE,TRUE,TRUE,"False",NA,NA,NA,NA,NA,NA,"False",0,1,1,5,5,0,1,4,0.75,4,4,0,0,0,NA,14,10,0.288483116883117,5,5,0,2,4,0.5,4,4,0,0,0,NA,11,14,0.21801038961039
"2","Replication","OVERCOMING INTUITION: METACOGNITIVE DIFFICULTY ACTIVATES ANALYTIC REASONING (Alter, Oppenheimer, Epley & Eyre, 2007, Study 4)","syllogisms presented in easy- or hard-to-read font from Alter et al. (2007)","abbility to answer syllogisms","False","1",6935,"multiple item measure",FALSE,"Not Reported",NA,TRUE,"",TRUE,TRUE,TRUE,TRUE,FALSE,"True, namely:","solving task of syllogisms presented in easy- or hard-to-read font fromAlter et al. (2007)",TRUE,TRUE,FALSE,FALSE,"None",TRUE,NA,NA,FALSE,"True",TRUE,TRUE,NA,NA,FALSE,NA,"Before",TRUE,TRUE,TRUE,TRUE,FALSE,"None","",TRUE,TRUE,NA,"True",TRUE,TRUE,NA,NA,NA,NA,"True",1,1,0,4,5,0.2,2,4,0.5,1,2,0.5,2,3,0.3333,15,10,0.335464935064935,5,5,0,2,4,0.5,2,3,0.3333,2,2,0,12,15,0.203896103896104
