"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Many_labs_version","research_type","research_title","measure_name","variable_name","Q58","variable_order","N","N_items","hypothesis_support","reliability_type","reliability_type_5_TEXT","reliability_coeff","Def1","Op_version","Op1","Op2","Op3","Op4","Op5","Sel_existing","Sel_existing_2_TEXT","Sel1","Sel2","Sel3","Sel4","Sel_psych_evidence","Sel_psych_evidence_4_TEXT","Quant1","Quant2","Quant3","Quant4","Mod_check","Mod1","Mod2","Mod3","Mod4","Mod5","Mod6","Mod_time"
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","To which Many Labs version does this study/replication belong to?","Is the coded measurement from a pre-registered replication protocol or an original paper?","Write down the title of the original research.","Write down the name of the used measure or otherwise a short description of the measure","Write down the name of the measured variable","This variable came from a single measure of multiple variables/dimmensions.","Write down in order of appearance in the methods section, what order this measure was described in within the research protocol/paper.","What was the sample size for this measurement?","Is the measure a 1 item measure or a multiple item measure?","Did the replication find results in support for the original paper's hypothesis/hypotheses. Based on p < 0.05 & same direction as the hypothesized effect of the original paper (Note: include the entire results section of the published article as a source for answering this question).","What type of reliability coefficient was reported? - Selected Choice","What type of reliability coefficient was reported? - Other - Text","What was the estimated value of this reliability? (skip question if no reliability was reported)","A psychoglogical/sociological definition is given to the name of the measured variable within the paper.","Give the name of the specific version of the used measure (if described).","The specific version of the measure (short/long, language) is described.","The administration format (pen-and-paper/computer) and enivronment (in public/in a lab) are described (Note: both should be present for a true rating).","The administration procedure, meaning the steps that took place in the administration of the measure, are described.","The characteristics of the procedure are linked to the construct that was investigated (e.g. did they explain why this operationalisation was needed to measure the construct)","Example items are presented within the text or in an appendix (note: appendix should only be considered as a satisfactory source of measurement information for this question).","Were previously existing materials used for the measure? - Selected Choice","Were previously existing materials used for the measure? - True, namely: - Text","The source of the scale is provided (in case the scale was newly developed, this should be clearly stated)","Reasoning is given for why this measure was prefered or optimal for the presented research, or why a new measure needed to be developped if a new measure was created (many different measures may exist for the same construct, thus it should be clear why this specifically was chosen).","Description or reference to psychometric evidence for the validity of the scale beyond standard reliability measures (for instance, results from a factor analysis or IRT model). Or if no additional evidence is available this is clearly stated (note: a lack of validity evidence does not count here, a clear statement must be made by the authors specifically indicating the lack of validity evidence).","There is psychometric evidence for the scale based on data outside of the main analyses presented in this paper/report. This can refer to evidence from a previous study, or a separate study that was conducted for the purposes of validation and reported within this paper/report.","What kind of analysis was reported to provide psychometric evidence? - Selected Choice","What kind of analysis was reported to provide psychometric evidence? - Other, namely: - Text","The number of items are described.","The number of response options are described.","Any recoded responses (for example reverse coding) are described.","The calculation of aggregated score (sum/mean/factor) are described.","Was the measurement modified for this research?","Any format changes are mentioned (paper-and-pencil  computer), if no changes were made to the format, and this was mentioned then code as No modification. If it is not clear, then code as False.","Validity evidence for the newly formated measure, or reasoning for why the format should not impact validity is presented. If the formatting did not change, then code as No modification. If it was not clear whether or not the formatting had changed, then code as Not apllicable.","The language in which the measure was conducted is mentioned and if this deviated from the original this is mentioned. If there was no change in language code as No modification. If it is not clear, then code as False.","Validity evidence for the translated measure, or reasoning for why the translation should not impact validity is presented. If no changes to formatting were made, then code as No modification. If it was not clear whether or not the scale was translated, then code as Not apllicable.","If number of items and/or response options deviated from the original, this is mentioned. In case of no deviations, respond as No modification. If it is not clear, then code as False","Validity evidence is given for the change number of items/response options (such as weak factor loading, more variance in response options improved statistical properties), or reasoning for why the change was necessary. If the number of items and response options remained the same, then code as No modification. If it was not clear whether or not number of items/response options were modified, then code as Not applicable.","Were modifications made to the measure/procedure/coding made before or after/during data collection?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID64""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID39""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_5_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID42""}","{""ImportId"":""QID60""}","{""ImportId"":""QID43""}","{""ImportId"":""QID59""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_2_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_4_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID20""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}"
"2023-04-13 07:51:17","2023-04-13 08:11:05","Survey Preview","","100","1187","True","2023-04-13 08:11:06","R_1gOXuRQwpkCMV0e","","","","","51.3911","6.1212","preview","EN","1","Replication","1	Sunk costs (Oppenheimer et al., 2009)","likelihood of attending a game rating","likelihood of attending a game","False","1","6330","1 item measure","Yes","","","","True","","True","True","False","False","True","True, namely:","Oppenheimer's adapted task","True","True","Not applicable","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","True","Not applicable","Not applicable","True","True","False","False","","No modification","No modification",""
"2023-04-13 08:22:57","2023-04-13 08:29:49","Survey Preview","","100","412","True","2023-04-13 08:29:51","R_2f8LWckgjgerOaH","","","","","51.3911","6.1212","preview","EN","1","Replication","Gain versus loss framing for combating disease (Tversky & Kahneman, 1981)","Asian disease problem","program adoption preference","True","1","6271","1 item measure","Yes","","","","True","","True","False","True","True","True","True, namely:","Asian Disease Problem","True","True","Not applicable","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","True","Not applicable","Not applicable","True","True","False","True","False","No modification","No modification","Before"
"2023-04-13 08:30:46","2023-04-13 08:44:58","Survey Preview","","100","851","True","2023-04-13 08:44:59","R_T5XmVAf2ADFXK3T","","","","","51.3911","6.1212","preview","EN","1","Replication","Anchoring (Jacowitz & Kahneman, 1995)","estimation in scenarios","quantitative judgement","False","1","21880","multiple item measure","Yes","Not Reported","","","True","","True","False","True","True","True","True, namely:","Anchoring scenarios developped in (Jacowitz & Kahneman, 1995)","True","True","False","False","None","","True","Not applicable","Not applicable","False","True","True","False","True","False","True","False","Before"
"2023-04-13 08:51:47","2023-04-13 09:00:00","Survey Preview","","100","493","True","2023-04-13 09:00:03","R_3CEnWvdWnfEE9jU","","","","","51.3911","6.1212","preview","EN","1","Replication","Retrospective gambler’s fallacy (Oppenheimer & Monin, 2009)","dice restrospect scenario","number of dice rolls by imagined man","False","1","5940","1 item measure","Yes","","","","True","","False","False","True","False","True","True, namely:","the reptrospective dice scenario from (Oppenheimer & Monin, 2009)","True","True","Not applicable","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","True","Not applicable","Not applicable","True","True","False","True","False","True","False","Before"
"2023-04-13 09:05:12","2023-04-13 09:10:22","Survey Preview","","100","310","True","2023-04-13 09:10:24","R_2dN2okczHtpH6Vm","","","","","51.3911","6.1212","preview","EN","1","Replication","Low-vs.-high category scales (Schwarz et al., 1985)","TV watching daily on different scales","Tv watching time","False","1","5899","1 item measure","Yes","","","","True","","True","False","True","True","True","True, namely:","Two TV daily watch time questions from (Schwarz et al., 1985)","True","True","Not applicable","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","Not applicable","Not applicable","Not applicable","True","True","False","True","False","No modification","No modification","Before"
"2023-04-13 12:41:16","2023-04-13 12:50:11","Survey Preview","","100","534","True","2023-04-13 12:50:13","R_3jU3cXyj3z0JWnk","","","","","51.3911","6.1212","preview","EN","1","Replication","Norm of reciprocity (Hyman and Sheatsley, 1950). ","two questions about allowing news reporting with order effects","in or outgroup favoritism","False","1","6276","1 item measure","Yes","","","","True","","True","False","True","True","True","True, namely:","two counterbalanced questions from (Hyman & Sheatsley, 1950)","True","True","Not applicable","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","True","Not applicable","Not applicable","True","True","False","False","False","No modification","No modification","Before"
"2023-04-13 12:52:34","2023-04-13 12:58:13","Survey Preview","","100","339","True","2023-04-13 12:58:15","R_SSFSlXPILahZ0MV","","","","","51.3911","6.1212","preview","EN","1","Replication","Allowed/Forbidden (Rugg, 1941)","two different frame forbidding speeches question","wording effect","False","1","6292","1 item measure","Yes","","","","False","","True","False","True","True","True","True, namely:","two item question wording test from Allowed/Forbidden (Rugg, 1941)","True","True","Not applicable","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","True","Not applicable","Not applicable","True","True","False","True","False","No modification","No modification","Before"
"2023-04-13 13:01:31","2023-04-13 13:06:16","Survey Preview","","100","285","True","2023-04-13 13:06:18","R_1DIuy1Sn2grCX65","","","","","51.3911","6.1212","preview","EN","1","Replication","Quote Attribution (Lorge & Curtis, 1936). ","attributed quote rating question","quote attribution effect","False","1","6325","1 item measure","Yes","","","","False","","Not applicable","False","True","True","True","False, materials were newly developped for this study","","True","True","Not applicable","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","True","Not applicable","Not applicable","True","True","False","False","","True","False","Before"
