"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Many_labs_version","research_type","research_title","variable_order","Op1","Op2","Op5","Sel1","Sel3","Sel_psych_evidence","Sel_psych_evidence_4_TEXT","Quant1","Quant2","Quant3","Mod_check","Mod1","Mod2","Mod3","Mod4","Mod5","Mod6"
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","To which Many Labs version does this study/replication belong to?","Is the coded measurement from a pre-registered replication protocol or an original paper?","Write down the title of the original research.","Write down in order of appearance in the methods section, what order this measure was described in within the research protocol/paper.","The specific version of the measure (short/long, language) is described. Include the general description of the replication protocols as a description of language (if its a single item measure and that measure is sufficiently described, code this as true).","The administration format (pen-and-paper/computer) and enivronment (in public/in a lab) are described (Note: descriptions are only necessary if they appear relevant to the construct, and they may be general such as in a lab or both lab and online where used).","Example items are presented within the text or in an appendix (note: online appendices are also counted for this question).","The source of the scale is provided (in case the scale was newly developed, if no other source was provided we can assume that it was made for this study)","Description or reference to psychometric evidence for the validity of the scale beyond standard reliability measures (for instance, results from a factor analysis or IRT model). Or if no additional evidence is available this is clearly stated (note: a lack of validity evidence does not count here, a clear statement must be made by the authors specifically indicating the lack of validity evidence).","What kind of analysis was reported to provide psychometric evidence? - Selected Choice","What kind of analysis was reported to provide psychometric evidence? - Other, namely: - Text","The number of items are described.","The number of response options are described.","Any recoded responses (for example reverse coding) are described.","Was the measurement modified for this research (if no known differences are stated then code as false)?","Any format changes are mentioned (paper-and-pencil  computer), if no changes were made to the format, and this was mentioned then code as No modification. If it is not clear, then code as False (keep general protocol mention in mind here, even if it is not clear for each individual study, a general description will still count).","Validity evidence for the newly formated measure, or reasoning for why the format should not impact validity is presented. If the formatting did not change, then code as No modification. If it was not clear whether or not the formatting had changed or it seems unlikely to affect the results, then code as Not apllicable.","The language in which the measure was conducted is mentioned and if this deviated from the original this is mentioned. If there was no change in language code as No modification. If it is not clear, then code as False (keep general protocol mention in mind here, even if it is not clear for each individual study, a general description will still count).","Validity evidence for the translated measure, or reasoning for why the translation should not impact validity is presented. If no changes to formatting were made, then code as No modification. If it was not clear whether or not the scale was translated or it seems unlikely to affect the results, then code as Not apllicable.","If number of items and/or response options deviated from the original, this is mentioned. In case of no deviations, respond as No modification. If it is not clear, then code as False (keep general protocol mention in mind here, even if it is not clear for each individual study, a general description will still count).","Validity evidence is given for the change number of items/response options (such as weak factor loading, more variance in response options improved statistical properties), or reasoning for why the change was necessary. If the number of items and response options remained the same, then code as No modification. If it was not clear whether or not number of items/response options were modified or it seems unlikely to affect the results, then code as Not applicable."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID64""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID42""}","{""ImportId"":""QID59""}","{""ImportId"":""QID44""}","{""ImportId"":""QID46""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_4_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID20""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}"
"2023-04-23 06:49:51","2023-04-23 06:55:09","Survey Preview","","100","317","True","2023-04-23 06:55:10","R_1RJS9NkIvIaUbC1","","","","","51.5145","4.4331","preview","EN","1","Replication","Sunk costs (Oppenheimer et al., 2009)","1","True","True","True","True","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","True","Not applicable","True","True","","True","","No modification","No modification"
"2023-04-23 06:55:17","2023-04-23 06:57:42","Survey Preview","","100","144","True","2023-04-23 06:57:43","R_UfpjG68srrTXuRX","","","","","51.5145","4.4331","preview","EN","1","Replication","2	Gain versus loss framing for combating disease (Tversky & Kahneman, 1981)","1","True","True","True","True","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","True","Not applicable","True","True","","True","","No modification","No modification"
"2023-04-23 06:58:26","2023-04-23 07:00:37","Survey Preview","","100","130","True","2023-04-23 07:00:38","R_ZEK3Z4MFSgCwD6h","","","","","51.5145","4.4331","preview","EN","1","Replication","Anchoring (Jacowitz & Kahneman, 1995)","1","True","True","True","True","False","None","","True","True","Not applicable","True","True","","True","","True","False"
"2023-04-23 07:01:27","2023-04-23 07:05:28","Survey Preview","","100","240","True","2023-04-23 07:05:29","R_1OiNx1myTnt4V5q","","","","","51.5145","4.4331","preview","EN","1","Replication","Retrospective gambler’s fallacy (Oppenheimer & Monin, 2009)","1","True","True","True","True","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","True","Not applicable","True","True","","True","","True","False"
"2023-04-23 07:05:50","2023-04-23 07:09:09","Survey Preview","","100","199","True","2023-04-23 07:09:10","R_3e4VVXwYmSIQsUK","","","","","51.5145","4.4331","preview","EN","1","Replication","Low-vs.-high category scales (Schwarz et al., 1985)","1","True","True","True","True","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","True","Not applicable","True","True","","True","","No modification","No modification"
"2023-04-23 07:20:27","2023-04-23 07:23:20","Survey Preview","","100","172","True","2023-04-23 07:23:21","R_A6EwHZ2V2R9K6sx","","","","","51.5145","4.4331","preview","EN","1","Replication","Norm of reciprocity (Hyman and Sheatsley, 1950).","1","True","True","False","True","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","True","Not applicable","True","True","","True","False","No modification","No modification"
"2023-04-23 07:23:28","2023-04-23 07:25:39","Survey Preview","","100","130","True","2023-04-23 07:25:41","R_1gSXRqgCuf8rLxB","","","","","51.5145","4.4331","preview","EN","1","Replication","Allowed/Forbidden (Rugg, 1941)","1","True","True","True","True","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","True","Not applicable","True","True","","True","True","No modification","No modification"
"2023-04-23 07:25:46","2023-04-23 07:29:06","Survey Preview","","100","199","True","2023-04-23 07:29:07","R_1LzXlJjgTlf5oqv","","","","","51.5145","4.4331","preview","EN","1","Replication","8	Quote Attribution (Lorge & Curtis, 1936)","1","True","True","True","True","Not applicable","Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","","True","True","Not applicable","True","True","","True","","True","False"
