"ResponseId","Location","HAPPY","ANGRY","GENERAL ACTION","SPECIFIC ACTION","ACTION","SUM of ACTIONs","INACTION","NEUTRAL","Not FOUND","Blank","SAT1","SAT2","SAT3","SAT4","SAT5","SAT6","SAT7","SAT8","SAT9","SAT10","SAT11","SAT12","SAT13","SAT14","SAT15","SAT16","SAT17","SAT18","SAT19","SAT20","SAT21","SATTotal","Condition"
"R_0AFx6aDwqCDT6nL","Oregon",4,4,1,1,5,7,8,18,7,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,15,"inaction"
"R_0rN0C4q0xcMI1kl","Toronto",2,7,1,3,3,7,10,13,10,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,9,"inaction"
"R_0UhDK9Ta5hayEFj","Illinois",7,4,1,2,8,11,6,16,7,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,14,"inaction"
"R_10BMnSQBCkFIr0D","Toronto",7,4,0,1,6,7,10,14,2,7,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,9,"inaction"
"R_10JABBpDS88MExJ","Wesleyan",1,2,2,2,5,9,9,14,8,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,12,"inaction"
"R_10MhBwERb8laFs2","Toronto",4,4,2,1,6,9,9,13,9,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,10,"action"
"R_10OzOALrT0ceUlw","Oregon",5,1,0,1,4,5,11,19,1,4,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,12,"action"
"R_11Xt3KmtkSzMcem","Oregon",5,3,2,3,6,11,2,19,8,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,11,"action"
"R_126nBBpy45o4Qb9","Toronto",3,8,0,2,4,6,6,20,5,3,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,9,"action"
"R_12hWgdFBO8452eK","Illinois",4,4,1,4,6,11,8,15,6,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,12,"inaction"
"R_12LRYDgxP6XfHZh","Oregon",6,1,2,5,6,13,9,18,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,15,"action"
"R_12RVqvaK3kUxW2e","Oregon",8,2,1,6,5,12,8,16,4,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,13,"action"
"R_12seEfOPWt6fgs3","Oregon",4,1,0,3,5,8,7,13,3,9,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,6,"action"
"R_12u0GYtipM46aEQ","Illinois",3,4,3,4,4,11,8,13,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,"inaction"
"R_1C8GiMLPqcqj8yJ","Oregon",7,4,2,1,7,10,7,19,4,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,8,"action"
"R_1C8QzX0aoTBrA0r","Illinois",2,7,3,5,5,13,7,19,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,11,"action"
"R_1Cl1OVsTbnKtOH7","Wesleyan",8,2,2,3,4,9,6,20,2,3,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,16,"inaction"
"R_1CpAlUQcesQ5Vks","Oregon",6,4,2,1,5,8,6,16,10,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,11,"inaction"
"R_1CxyNXOE1D1jD98","Wesleyan",8,1,0,3,7,10,5,19,6,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,11,"action"
"R_1d46kv4JYJqqZAk","Wesleyan",6,5,2,3,6,11,10,17,2,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,15,"action"
"R_1DA3wytvwyOqjPK","Oregon",5,2,3,5,6,14,5,20,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,15,"inaction"
"R_1dGDzRRhp9qsEQu","Toronto",6,6,2,1,5,8,6,16,3,7,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,8,"inaction"
"R_1dlYE7vfJSaMNxL","Toronto",4,6,1,1,6,8,3,15,14,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,8,"action"
"R_1DtL09Byxy8a4ez","Oregon",7,2,1,4,2,7,7,18,8,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,9,"inaction"
"R_1EcalXA6veKV2rK","Oregon",7,1,3,1,5,9,10,19,2,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,13,"inaction"
"R_1Ed434E8VmTBiqo","Oregon",3,4,2,5,4,11,6,10,5,8,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,10,"inaction"
"R_1eQuZe2TaWtpH3x","Wesleyan",7,3,2,0,4,6,7,23,4,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,13,"inaction"
"R_1etb5avK01w0mTb","Oregon",7,1,2,3,5,10,7,16,6,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,8,"action"
