"Site","ID","ID2","gender","child_parent","age","age_.year","age_.month","age_.days","age_days","age_months","snake_experience","fear_snake","zoo","protocol","target_stimulus","order","stimulus_1","stimulus_2","stimulus_3","stimulus_4","stimulus_5","stimulus_6","stimulus_7","stimulus_8","stimulus_9","stimulus_10","stimulus_11","stimulus_12","stimulus_13","stimulus_14","stimulus_15","stimulus_16","stimulus_17","stimulus_18","stimulus_19","stimulus_20","stimulus_21","stimulus_22","stimulus_23","stimulus_24","RT.correct","number_errors"
"BG","NP009DCS  ","1NP009DCS   ","female","child","3y-11m-12d   ",3,11,12,1442.5625,47.394250513347,"yes","no",1,"NP","other",1,2.871,4.416,2.995,4.228,5.648,1.856,3.744,1.732,4.009,3.291,1.513,2.871,4.836,4.212,2.121,2.449,2.98,3.401,3.541,3.885,4.243,4.275,1.669,3.432,3.342,0
"BG","NP009DCS_2","1NP009DCS_2 ","female","child","3y-11m-9d    ",3,11,9,1439.5625,47.2956878850103,"yes","no",1,"NP","other",1,2.402,2.808,2.215,3.416,3.603,2.2,3.291,1.685,3.354,2.2,3.479,2.247,2.356,2.262,1.887,4.477,3.026,2.434,1.7,1.591,3.62,10.094,2.075,1.7,2.922,0
"BG","NP009RCS  ","1NP009RCS   ","female","parent","36y-9m-26d   ",36,9,26,13448.9375,441.854209445585,"yes","no",NA,"NP","other",1,3.51,1.17,2.246,1.342,1.639,1.123,3.027,1.123,1.404,1.279,1.966,1.357,2.652,1.95,2.434,1.591,3.292,1.311,2.184,2.122,1.42,1.997,2.574,1.747,1.936,0
"BG","NP011DCS  ","1NP011DCS   ","female","child","5y-2m-19d    ",5,2,19,1906.125,62.6242299794661,"yes","no",1,"NP","other",1,5.226,4.93,3.9,7.192,4.446,3.432,2.527,7.176,2.636,2.823,5.023,5.756,3.354,3.026,7.191,2.09,2.558,2.683,6.396,1.966,2.278,1.451,1.56,2.153,3.824,0
"BG","NP011RCS  ","1NP011RCS   ","female","parent","35y-3m-18d   ",35,3,18,12893.0625,423.59137577002,"yes","no",NA,"NP","other",1,1.31,2.823,1.498,1.404,1.419,3.822,1.186,1.81,1.03,1.311,1.404,1.279,1.092,1.357,1.887,1.311,0.967,1.623,1.154,1.123,0.967,1.342,1.263,1.295,1.487,0
"BG","NP012DCS  ","1NP012DCS   ","female","child","3y-4m-12d    ",3,4,12,1229.5,40.394250513347,"yes","no",1,"NP","other",1,18.673,6.131,3.276,1.732,9.469,10,3.948,10.483,6.458,4.774,12.137,14.882,9.781,9.703,4.945,3.276,33.899,7.332,3.386,2.871,3.276,6.614,9.47,2.59,8.296,0
"BG","NP012RCS  ","1NP012RCS   ","female","parent","36y-3m-3d    ",36,3,3,13243.3125,435.098562628337,"yes","no",NA,"NP","other",1,1.279,1.279,1.81,2.48,1.498,1.731,2.028,1.311,1.326,1.513,1.295,1.747,2.528,1.966,1.202,1.201,1.248,1.731,1.357,1.716,1.17,1.669,1.264,1.139,1.562,0
"BG","NP013DSC  ","1NP013DSC   ","female","child","3y-2m-9d     ",3,2,9,1165.625,38.2956878850103,"yes","no",1,"NP","snake",2,4.056,6.724,4.399,3.088,8.081,4.04,8.424,3.666,6.162,4.711,3.026,1.747,5.569,10.436,6.256,2.355,9.422,4.648,48.438,20.764,6.178,35.521,4.368,5.055,10.614,6
"BG","NP013RSC  ","1NP013RSC   ","male","parent","37y-9m-13d   ",37,9,13,13801.1875,453.427104722793,"yes","no",NA,"NP","snake",2,3.042,1.856,1.42,2.73,1.482,2.106,2.231,1.903,2.652,2.169,1.31,2.902,1.451,1.544,1.654,2.559,1.576,1.919,2.013,1.81,2.309,2.294,1.856,1.779,2.024,0
"BG","NP014DCS  ","1NP014DCS   ","male","child","3y-9m-10d    ",3,9,10,1379.6875,45.3285420944559,"no","no",2,"NP","other",1,3.697,20.67,17.425,7.909,4.259,1.981,3.869,3.152,7.846,8.237,5.663,4.617,1.872,5.008,4.586,2.434,4.243,3.182,2.995,2.465,9.392,6.053,3.713,3.978,7.057,16
