"X","Site","ID",".id","Condition","uniqueID",".id_exclusiondata","Site_exclusiondata","ID_exclusiondata","SuspicionText","Exclusion","Gender","Age","Edu_highest","Edu_current","Edu_subject","Version","Comment","Misc.Notes..when.applicable.",".id_cheatdata","fileID","block1","block2","EssayTime_.sec.","Happiness","Sadness","Euphoria","Disgust","Pleasure","Joy","Anger","Fear","Admiration","Love","Remorse","Guilt","Hope","Shame","Resentment","Tenderness",".id_cheatdata_cheatdata","fileID_cheatdata","block1_cheatdata","block2_cheatdata","CONDuniqueID","Protocol","Cheating","FWD1","FWD2","FWD3","FWD4","FWD5","FWD6","FWD7","FWD8","FWD9","FWD10","FWD11","FWD12","FWD13","FWD14","FWD15","FWD16","FWD17","FWD18","FWD19","FWD20","FWD21","FWD22","FWD23","FWD24","FWD25","FWD26","FWD27","FWD28","FAD1","FAD2","FAD3","FAD4","FAD5","FAD6","FAD7","FAD8","FAD9","FAD10","FAD11","FAD12","FAD13","FAD14","FAD15","FAD16","FAD17","FAD18","FAD19","FAD20","FAD21","FAD22","FAD23","FAD24","FAD25","FAD26","FAD27","FWD","FAD","PosAff","NegAff","FreeWill","Coder.1","Coder.2","Final.Code"
1,"Basel",1,"Basel","Anti","Basel_1","Basel","Basel",1,"Ungewöhnlich: Ungewöhnlicher Übergang von Wissenschaft/Befinden zu Rechenaufgaben. Um was es ging: Den Text verstehen und evtl. darum, zu schauen, wie die Meinung über das Leben ist und auf eine Art zu vergleichen. Evtl. um herauszufinden, was für Emotionen aufkommen, nachdem man sich Gedanken über das Leben machte. Evtl. um zu schauen, ob bei den Rechenaufgaben wirklich weiterklickt, weil einem gesagt wurde, dass die Lösung evtl. erscheint. Möglicher Zusammenhang mit den Gedanken/Emotionen über das Leben von zuvor --> ist man fair/ehrlich?",1,"Male",20,"Matura","Yes","Psychology","","","","","",NA,NA,426,2,1,2,1,3,3,1,1,1,2,1,1,4,1,1,1,"Basel","1488285577552_VPN001.csv",0,0,"df.RPP_Basel_1","RPP",0,5,4,3,4,4,2,1,2,2,5,3,2,4,2,2,1,5,2,1,3,5,1,2,4,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,18,8,-0.138376056483014,1,1,1
2,"Basel",10,"Basel","Anti","Basel_10","Basel","Basel",10,"- kein Kommentar -",0,"Male",24,"Matura","Yes","Psychology","","","","Basel","1489659282543_VPN010.csv",0,2,NA,3,1,3,1,3,3,2,1,1,1,2,2,3,2,2,1,"Basel","1489659282543_VPN010.csv",0,2,"ML5_Basel_10","ML5",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,4,1,2,3,5,1,3,2,4,1,4,2,4,2,2,2,1,3,4,4,4,2,4,4,NA,28,18,13,1.00273420174892,0,0,0
3,"Basel",100,"Basel","Anti","Basel_100","Basel","Basel",100,"Es ging darum ob ich an einen freien Willen glaube oder nicht & beeinflusst wurde durch die Aussagen und wie sich mein Glaube beim Rechnen verhält",1,"Female",20,"Matura","No","Psychology","","","","Basel","1507190943386_VPN100.csv",6,8,NA,1,3,1,1,1,1,1,1,1,2,2,1,2,1,1,1,"Basel","1507190943386_VPN100.csv",6,8,"ML5_Basel_100","ML5",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,2,2,2,4,3,4,2,4,4,2,4,4,2,3,2,4,4,3,2,2,3,4,3,3,NA,19,10,11,-0.933950043164507,1,1,1
4,"Basel",101,"Basel","Control","Basel_101","Basel","Basel",101,"war klar, dass es sich nicht um """"""""Fehler"""""""" im Programm handelte",1,"Female",21,"Matura","Yes","Psychology","","","","","",NA,NA,233,2,4,2,1,1,1,1,3,1,1,2,2,3,1,2,1,"Basel","1507195371286_VPN101.csv",8,5,"df.RPP_Basel_101","RPP",13,3,4,3,4,4,2,1,3,2,4,2,4,1,3,4,1,2,1,1,2,2,1,3,3,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,12,16,0.78896670914106,0,1,1
5,"Basel",102,"Basel","Anti","Basel_102","Basel","Basel",102,"Ich verstehe oder weiss nicht was es mit diesem Text auf sich hat, weil man später Rechnungen rechnet. Habe keine Ahnung um was es geht",0,"Female",21,"Matura","Yes","Psychology","","","","","",NA,NA,292,4,1,3,1,3,4,1,1,1,3,1,1,1,1,1,1,"Basel","1507706969571_VPN102.csv",2,3,"df.RPP_Basel_102","RPP",5,3,5,2,4,4,3,3,4,3,2,3,2,1,5,3,3,5,1,5,5,5,2,2,5,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,20,8,0.17073819872501,1,1,1
6,"Basel",103,"Basel","Anti","Basel_103","Basel","Basel",103,"-kein Kommentar-",0,"Male",32,"Matura","Yes","Psychology","","","","","",NA,NA,265,4,1,4,1,4,3,1,1,5,1,1,1,1,1,1,1,"Basel","1507710331767_VPN103.csv",2,4,"df.RPP_Basel_103","RPP",6,5,2,4,1,5,1,2,1,5,5,5,4,4,4,3,2,5,1,1,5,5,1,4,5,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,23,8,-1.68394733252314,0,0,0
7,"Basel",104,"Basel","Control","Basel_104","Basel","Basel",104,"Ich kann mir diesen Fragebogen, wobei wir unsere Gefühle ausdrücken bzw erläutern sollten nicht so ganz erklären in welchem Zusammenhang es zb mit den Matheaufgaben stehen soll. Vielleicht hat dieser Themawechsel irgendetwas mit der Aufmerksamkeit zu tun.",0,"Female",21,"Matura","Yes","Psychology","","","","","",NA,NA,491,3,1,2,1,3,3,1,1,1,3,1,1,4,1,1,1,"Basel","1507713638462_VPN104.csv",10,10,"df.RPP_Basel_104","RPP",20,5,5,4,2,5,1,1,1,5,5,5,3,4,5,1,1,3,1,3,5,4,1,3,2,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,20,8,-0.756604566899064,0,0,0
8,"Basel",105,"Basel","Control","Basel_105","Basel","Basel",105,"Ich konnte die Relation ziwschen den Aufgaben nicht erkennen. Es erschien mir merkwürdig, dass das Rechenprogramm auf dem PC diesen Fehler mit der Anzeige der Lösung hatte. Ich kann nicht sagen, um was es bei diesem Experiment ging. ",0,"Male",27,"Matura","Yes","Psychology","","","","","",NA,NA,251,3,1,1,1,3,2,1,1,1,1,1,1,3,1,1,1,"Basel","1507720197406_VPN105.csv",2,2,"df.RPP_Basel_105","RPP",4,5,5,4,3,5,1,4,2,5,5,4,4,3,5,3,1,5,1,1,5,5,2,3,5,1,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,15,8,-0.447490311691039,0,0,0
9,"Basel",106,"Basel","Control","Basel_106","Basel","Basel",106,"-kein Kommentar-",0,"Female",18,"Matura","Yes","Psychology","","","","","",NA,NA,482,3,1,2,1,2,4,1,2,4,1,1,1,4,1,1,1,"Basel","1507732940617_VPN106.csv",3,4,"df.RPP_Basel_106","RPP",7,1,2,3,2,4,1,3,1,2,3,4,2,4,4,3,3,3,2,3,4,5,4,4,5,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,21,9,-0.756604566899064,1,0,0
10,"Basel",107,"Basel","Control","Basel_107","Basel","Basel",107,"Der Text war etwas pesimistisch Geschrieben. Eine Matheaufgabe macht man Schritt für Schritt, auch wenn Teilschritte manchmal länger brauchen, kommt man zum Ende und wenn mal was falsch gerechnet war, dann konnte man es nochmal versuchen. So ist es auch im normalen Leben, auch wenn etwas nicht klappt: Die Hoffnung nicht aufgeben und den Mut nicht verlieren!",0,"Female",22,"Matura","Yes","Psychology","","","","","",NA,NA,382,5,1,3,1,3,4,1,1,2,3,1,1,2,1,1,1,"Basel","1507793921044_VPN107.csv",0,6,"df.RPP_Basel_107","RPP",6,5,4,2,2,5,1,3,2,1,2,2,1,1,4,3,2,5,1,1,4,3,2,2,3,5,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,23,8,-0.447490311691039,0,0,0
