"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"many_labs_version","numeric",80,0,4,2.5,2,2,NA,1.26290803658095,NA,1,5,4,0.9494809662495,1.76543186085457,-0.140131330309902,-0.131755488818158,NA,NA
"rep_org","factor",80,0,2,NA,NA,80,"Original",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"title","character",80,0,58,NA,NA,5,"Liberals and Conservatives Rely on Different Sets of Moral Foundations",NA,0.9765625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"measure_name","character",80,0,78,NA,NA,4,"moral foundations questionnaire",NA,0.985625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"variable_name","character",80,0,80,NA,NA,2,"framing effect",NA,0.9871875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"multi","factor",80,0,3,NA,NA,67,"False",NA,0.2721875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"appearance","factor",80,0,6,NA,NA,57,"1",NA,0.444375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","numeric",78,0.025,51,296.679487179487,125,125,NA,477.635531689385,NA,30,2646,2616,2.90606517856749,5.33789365285867,8.40101531089074,7.80507564748197,NA,NA
"N_items","factor",80,0,4,NA,NA,41,"multiple item measure",NA,0.5434375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hypothesis_support","factor",80,0,4,NA,NA,40,"No",NA,0.5346875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reliability_type","factor",80,0,6,NA,NA,38,"",NA,0.6378125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reliability_type_text","character",80,0,4,NA,NA,78,"",NA,0.0490625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reliability_coeff","numeric",16,0.8,16,0.70875,0.73,0.73,NA,0.143706877589998,NA,0.3,0.89,0.59,-1.19239355360333,-1.05651010871479,1.49570888964965,0.685618219282147,NA,NA
"def1","logical",73,0.0875,3,NA,NA,58,"TRUE",NA,0.326515293676112,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_version","character",80,0,11,NA,NA,71,"",NA,0.2109375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_1","logical",79,0.0125,3,NA,NA,57,"TRUE",NA,0.401858676494152,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_2","logical",80,0,3,NA,NA,53,"FALSE",NA,0.4471875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"op_3","logical",80,0,3,NA,NA,59,"TRUE",NA,0.3871875,NA,NA,NA,NA,NA,NA,NA,NA,NA
