"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"g","factor",5476,0,9,NA,NA,1119,"4",NA,0.860575145358376,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WTR.angry","integer",5476,0,7,4.63823959094229,5,5,NA,1.70330608577998,NA,1,7,6,-0.223893715321332,-3.38288253595338,-0.840814381814961,-6.35322657177512,NA,NA
"WTR.posNeg.person","integer",5476,0,7,4.42293644996348,4,4,NA,1.53881168538712,NA,1,7,6,-0.0323615555623191,-0.488961206396236,-0.462832661012238,-3.49718180828579,NA,NA
"WTR.posNeg.relation","integer",5476,0,7,3.94083272461651,4,4,NA,1.55100967572921,NA,1,7,6,0.103024646930817,1.55663270125661,-0.348323824473732,-2.63194853119896,NA,NA
"WTR.closeness","integer",5476,0,7,3.67841490138787,4,4,NA,1.57495748388475,NA,1,7,6,0.183011935817894,2.76518651120167,-0.510640410253902,-3.85841904374228,NA,NA
"WTR.futureRel","integer",5476,0,7,4.74780861943024,5,5,NA,1.75830572785012,NA,1,7,6,-0.444065403917201,-6.70952776667533,-0.555508230044263,-4.19744205651999,NA,NA
"WTR.willreconcile","integer",5476,0,7,5.15650109569028,5,5,NA,1.627777068476,NA,1,7,6,-0.622865805530826,-9.41108084587672,-0.304559040552567,-2.30126010087531,NA,NA
"WTR.amends","integer",5476,0,7,4.20014609203798,4,4,NA,1.89739739475693,NA,1,7,6,-0.119685529311541,-1.80836736008093,-0.952985777801429,-7.20079805602594,NA,NA
"WTR.relFuture","integer",5476,0,7,4.60043827611395,5,5,NA,1.71140461140901,NA,1,7,6,-0.249150749179427,-3.76449922682792,-0.696949985222624,-5.26618152719597,NA,NA
"WTR.relDamage","integer",5476,0,7,4.2554784514244,4,4,NA,1.79931928510864,NA,1,7,6,-0.0463271417293207,-0.699971763262012,-0.894205772541401,-6.75665402211802,NA,NA
"WTR.futureDiscourse","integer",5476,0,7,4.4926953981008,4,4,NA,1.72537906977433,NA,1,7,6,-0.181246000127158,-2.73850441787344,-0.742359591163157,-5.60929829745446,NA,NA
