"many_labs_version","rep_org","title","measure_name","variable_name","multi","variable_order","N","N_items","hypothesis_support","reliability_type","reliability_type_text","reliability_coeff","def_1","op_version","op_1","op_2","op_3","op_4","op_5","sel_existing","sel_existing_text","sel_1","sel_2","sel_3","sel_4","sel_psychometric_evidence","sel_psychometric_evidence_text","quant_1","quant_2","quant_3","quant_4","mod_check","mod_1","mod_2","mod_3","mod_4","mod_5","mod_6","mod_time","op_1_REV","op_2_REV","op_5_REV","sel_1_REV","sel_3_REV","sel_psychometric_evidence_REV","sel_psychometric_evidence_text_REV","quant_1_REV","quant_2_REV","quant_3_REV","mod_check_REV","mod_1_REV","mod_2_REV","mod_3_REV","mod_4_REV","mod_5_REV","mod_6_REV","inseperable_material"
1,"Original","Instructional manipulation checks: Detecting satisficing to increase statistical power","sunk cost question adapted from Thaler (1985)","sunk cost effect","False",1,213,"1 item measure","Yes","","",NA,FALSE,"",TRUE,FALSE,TRUE,TRUE,TRUE,"True, namely:","sunk cost question adapted from Thaler (1985)",TRUE,TRUE,NA,NA,"None",NA,TRUE,TRUE,NA,NA,"None Reported",NA,NA,NA,NA,NA,NA,"",TRUE,FALSE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"True"
1,"Original","the framing of decisions and the psychology of choice","asian disease problem","framing effect","False",1,307,"1 item measure","Yes","","",NA,TRUE,"",TRUE,FALSE,FALSE,TRUE,TRUE,"Not Clearly Stated","",FALSE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",NA,TRUE,TRUE,NA,NA,"False",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"True"
1,"Original","Measures of Anchoring in Estimation Tasks","set of quantity questions","anchor effect","False",1,103,"multiple item measure","Yes","Not Reported","",NA,TRUE,"",TRUE,FALSE,FALSE,TRUE,FALSE,"Not Clearly Stated","",FALSE,FALSE,FALSE,FALSE,"None",NA,TRUE,NA,NA,TRUE,"None Reported",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,FALSE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"False"
1,"Original","The retrospective gambler’s fallacy","dice roll retrospective observation scenario from this study","retrospective gambler's fallacy","False",1,80,"1 item measure","Yes","","",NA,TRUE,"",TRUE,FALSE,TRUE,TRUE,FALSE,"True, namely:","dice roll retrospective observation scenario from this study",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",NA,TRUE,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,FALSE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"True"
1,"Original","Response Scales: Effects of Category Range on Reported Behavior and Comparative Judgments","daily tv consumption quesiton from this study","effects of category range on judgements","False",1,132,"1 item measure","Yes","","",NA,TRUE,"",FALSE,FALSE,TRUE,FALSE,TRUE,"False, materials were newly developped for this study","",FALSE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",NA,TRUE,TRUE,NA,NA,"None Reported",NA,NA,NA,NA,NA,NA,"",TRUE,FALSE,FALSE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"False"
1,"Original","the current status of american public opinion","question of letting american and russian newspapers be published across countries","order effects","False",1,1202,"1 item measure","Yes","","",NA,TRUE,"",FALSE,FALSE,TRUE,FALSE,TRUE,"Not Clearly Stated","",TRUE,FALSE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",NA,TRUE,TRUE,NA,NA,"None Reported",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"False"
1,"Original","Experiments in Wording Questions: II","allowing speeches or forbidding them questions from this paper","wording effect","False",1,NA,"1 item measure","Yes","","",NA,FALSE,"",TRUE,FALSE,FALSE,FALSE,TRUE,"True, namely:","daily tv consumption quesiton prepared by the quarterly and Mr. Elmo Roper",TRUE,FALSE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",NA,TRUE,TRUE,NA,NA,"False",NA,NA,NA,NA,NA,NA,"",TRUE,FALSE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"False"
1,"Original","Prestige, Suggestion, and Attitudes","quote attribution question from this study","quote attribution effect","True",1,99,"1 item measure","Yes","Not Reported","",NA,TRUE,"",TRUE,FALSE,FALSE,TRUE,TRUE,"False, materials were newly developped for this study","",TRUE,TRUE,NA,NA,"None",NA,TRUE,TRUE,TRUE,TRUE,"False",NA,NA,NA,NA,NA,NA,"",TRUE,FALSE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,FALSE,"False",NA,NA,NA,NA,NA,NA,"True"
1,"Original","A Single Exposure to the American Flag Shifts Support Toward Republicanism up to 8 Months Later","inention of voting scale from this study","intention to vote","False",1,388,"1 item measure","No","","",NA,TRUE,"",TRUE,FALSE,TRUE,TRUE,TRUE,"False, materials were newly developped for this study","",FALSE,TRUE,NA,NA,"None",NA,TRUE,TRUE,NA,NA,"False",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"True"
1,"Original","Mere Exposure to Money Increases Endorsement of Free-Market Systems and Social Inequality"," System Justification scale from (Kay & Jost, 2003","system justification","False",1,197,"multiple item measure","No","alpha","",0.88,FALSE," System Justification scale from (Kay & Jost, 2003",TRUE,TRUE,TRUE,TRUE,TRUE,"True, namely:"," System Justification scale from (Kay & Jost, 2003",TRUE,FALSE,FALSE,TRUE,"None",NA,TRUE,TRUE,FALSE,FALSE,"None Reported",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,TRUE,TRUE,FALSE,"None","",TRUE,TRUE,FALSE,"False",NA,NA,NA,NA,NA,NA,"True"
