"g","sysjust1","sysjust2","sysjust3","sysjust4","sysjust5","sysjust6","sysjust7","sysjust8"
"wl      ",3,3,5,5,5,3,5,3
"wl      ",4,2,4,3,3,2,2,2
"wl      ",4,4,4,4,4,2,4,2
"wl      ",5,6,5,6,5,3,6,5
"wl      ",2,1,2,4,2,1,4,1
"wl      ",3,3,4,3,5,1,3,3
"wl      ",1,3,2,5,4,3,4,4
"wl      ",5,4,5,7,4,3,4,5
"wl      ",3,5,5,6,3,3,4,5
"wl      ",2,2,5,6,4,3,5,3
"wl      ",4,2,7,4,2,6,5,5
"wl      ",5,4,7,4,4,6,6,6
"wl      ",3,5,6,2,4,2,5,3
"wl      ",1,1,1,2,1,1,3,1
"wl      ",3,3,6,5,3,3,4,2
"pi      ",3,4,5,4,4,3,5,2
"pi      ",1,1,2,4,5,1,4,1
"pi      ",3,1,3,7,5,3,4,2
"pi      ",3,3,3,6,3,5,2,3
"pi      ",3,1,4,5,4,1,4,1
"pi      ",3,6,6,4,7,1,7,6
"pi      ",1,1,3,2,3,1,4,1
"pi      ",5,5,5,6,5,5,4,3
"pi      ",2,2,4,6,4,2,4,1
"pi      ",3,3,4,4,3,3,3,3
"pi      ",3,1,3,2,4,1,3,3
"pi      ",5,3,3,1,5,5,4,3
"pi      ",3,3,5,6,5,3,5,3
"pi      ",6,5,7,1,7,7,6,6
"pi      ",2,4,5,1,3,2,4,3
"pi      ",3,2,2,3,2,2,4,3
"pi      ",3,1,1,4,1,1,5,1
"pi      ",6,5,3,6,3,3,3,2
"pi      ",1,1,2,3,2,1,4,1
"pi      ",1,1,3,1,2,1,6,1
"pi      ",7,6,6,3,5,2,5,1
"pi      ",2,2,3,2,2,1,3,2
"pi      ",3,3,3,6,6,1,2,3
"pi      ",3,2,5,3,3,2,3,3
"pi      ",3,3,2,1,4,5,5,1
"pi      ",2,2,3,5,5,3,2,3
"pi      ",4,4,4,5,4,4,4,1
"pi      ",3,3,6,4,3,3,3,4
"pi      ",2,3,3,3,3,2,4,3
"pi      ",3,2,6,6,4,2,4,2
"pi      ",1,2,1,4,2,1,1,1
"pi      ",2,4,5,4,5,1,4,3
"pi      ",4,3,3,6,5,5,3,4
"pi      ",2,1,2,2,2,2,6,2
"pi      ",3,1,3,2,5,2,3,1
"pi      ",2,3,4,4,3,4,3,1
"pi      ",4,3,7,4,3,1,2,4
"pi      ",3,3,5,4,2,3,5,2
"pi      ",5,3,4,5,4,4,4,3
"pi      ",3,3,7,5,6,6,4,5
"pi      ",6,3,1,5,5,1,4,1
"pi      ",2,4,4,6,5,2,4,3
"pi      ",2,3,3,6,4,4,3,1
"pi      ",5,3,3,6,4,2,6,3
"pi      ",5,2,5,7,4,5,3,4
"pi      ",6,6,4,3,6,6,4,6
"pi      ",3,2,3,6,3,3,3,3
"pi      ",2,1,3,4,2,1,3,1
"pi      ",3,3,4,6,5,2,4,3
"pi      ",1,1,1,4,2,1,2,1
"pi      ",5,3,5,7,3,3,2,3
"pi      ",2,3,3,5,3,1,4,1
"pi      ",2,4,3,3,2,1,7,1
"pi      ",4,5,7,7,4,6,1,6
"pi      ",3,2,2,5,5,3,2,3
"pi      ",3,1,1,6,6,1,7,4
"pi      ",4,4,2,7,5,6,5,4
"pi      ",2,5,7,5,4,3,3,3
"pi      ",3,4,1,4,3,2,3,3
"pi      ",4,4,1,4,5,5,3,4
"pi      ",5,3,5,5,2,5,7,5
"pi      ",3,3,6,5,5,2,6,3
"pi      ",1,2,2,1,1,1,4,1
"pi      ",3,5,5,5,3,2,5,3
"pi      ",2,3,3,4,5,2,3,1
"pi      ",5,3,5,1,5,1,3,3
"pi      ",2,5,6,3,5,2,5,3
"pi      ",3,3,3,5,5,3,5,3
"pi      ",2,2,1,7,3,5,6,2
"pi      ",3,3,5,6,3,3,3,4
"pi      ",3,1,3,4,2,5,3,3
"pi      ",5,2,3,7,5,7,6,5
"pi      ",4,2,4,1,4,4,2,2
"pi      ",2,2,4,4,4,2,4,3
"pi      ",3,2,4,4,5,1,4,2
"pi      ",1,1,2,4,2,1,2,1
"pi      ",3,1,1,4,3,6,2,3
"pi      ",3,2,3,7,5,4,4,4
"pi      ",3,3,6,5,4,5,5,4
"pi      ",1,2,3,5,2,1,4,2
