"g","imaginedexplicit1","imaginedexplicit2","imaginedexplicit3","imaginedexplicit4"
"wl      ",5,4,5,6
"wl      ",5,3,6,9
"wl      ",5,4,5,6
"wl      ",6,4,7,4
"wl      ",5,1,5,7
"wl      ",5,3,5,8
"wl      ",7,6,9,6
"wl      ",6,6,6,5
"wl      ",1,3,5,6
"wl      ",5,8,6,6
"wl      ",5,7,5,9
"wl      ",5,4,2,2
"wl      ",8,7,8,9
"wl      ",7,5,7,9
"wl      ",5,5,6,8
"pi      ",5,4,6,7
"pi      ",6,3,9,2
"pi      ",5,3,5,9
"pi      ",7,8,9,9
"pi      ",5,6,6,5
"pi      ",9,9,9,9
"pi      ",5,5,6,9
"pi      ",5,5,4,7
"pi      ",5,5,6,8
"pi      ",3,2,3,2
"pi      ",5,2,5,1
"pi      ",6,7,8,9
"pi      ",2,3,3,1
"pi      ",5,9,7,4
"pi      ",9,9,9,9
"pi      ",6,5,7,9
"pi      ",9,5,9,9
"pi      ",5,5,5,3
"pi      ",5,7,6,9
"pi      ",7,6,7,9
"pi      ",7,6,8,9
"pi      ",9,7,9,9
"pi      ",8,7,7,8
"pi      ",7,5,8,9
"pi      ",3,3,6,7
"pi      ",3,2,6,2
"pi      ",5,5,1,4
"pi      ",7,8,9,9
"pi      ",5,5,3,5
"pi      ",6,6,8,8
"pi      ",4,4,9,9
"pi      ",7,5,5,4
"pi      ",5,1,1,1
"pi      ",7,6,8,9
"pi      ",4,3,6,3
"pi      ",9,7,8,9
"pi      ",9,6,9,9
"pi      ",5,3,5,8
"pi      ",4,3,5,7
"pi      ",3,3,3,5
"pi      ",7,7,9,7
"pi      ",5,5,7,7
"pi      ",3,4,2,4
"pi      ",5,4,4,3
"pi      ",6,4,5,4
"pi      ",5,2,5,1
"pi      ",5,5,5,9
"pi      ",5,6,6,6
"pi      ",2,4,2,5
"pi      ",7,3,5,4
"pi      ",1,1,1,1
"pi      ",6,5,8,8
"pi      ",6,7,9,9
"pi      ",2,1,4,1
"pi      ",6,6,9,9
"pi      ",3,5,6,7
"pi      ",5,5,5,5
"pi      ",3,5,7,9
"pi      ",3,3,7,4
"pi      ",7,9,9,9
"pi      ",3,5,3,9
"pi      ",4,4,7,8
"pi      ",7,5,9,9
"pi      ",3,4,4,4
"pi      ",7,3,5,7
"pi      ",7,6,8,3
"pi      ",5,4,5,9
"pi      ",5,3,5,5
"pi      ",5,6,9,9
"pi      ",3,5,4,8
"pi      ",5,6,7,8
"pi      ",5,5,3,1
"pi      ",1,9,2,9
"pi      ",6,6,6,6
"pi      ",8,5,7,7
"pi      ",6,5,6,9
"pi      ",3,7,1,1
"pi      ",3,3,4,4
"pi      ",3,2,5,8
"pi      ",6,8,7,9
"pi      ",6,5,8,9
"pi      ",9,9,6,9
"pi      ",7,7,9,7
"pi      ",9,7,9,3
"pi      ",5,5,5,9
