"g","iatexplicitart1","iatexplicitart2","iatexplicitart3","iatexplicitart4","iatexplicitart5","iatexplicitart6"
"wl      ",-1,-1,-2,-1,-2,-2
"wl      ",-3,-3,-3,-3,-2,-3
"wl      ",-3,-3,-3,-3,-3,-3
"wl      ",-3,-3,-3,-3,-2,-3
"wl      ",-3,-3,-3,-3,-3,-3
"wl      ",-2,0,-3,-2,-2,-3
"wl      ",-3,-3,-3,-3,-3,-3
"wl      ",-3,-3,-3,-2,-2,-3
"wl      ",-1,-1,-1,-2,-1,-3
"wl      ",-3,-3,-2,-2,-1,-1
"wl      ",-3,-3,-3,-3,-3,-3
"wl      ",1,1,1,0,3,1
"wl      ",-3,-3,-3,-3,-3,-3
"wl      ",-1,-2,-2,-1,-1,-3
"wl      ",-2,-2,-2,-3,-3,-3
"pi      ",-2,-2,-2,-1,-1,-3
"pi      ",-3,-3,-3,-3,-3,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-2,-2,-2,-2,-1
"pi      ",-3,-3,-3,-3,-3,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-2,-2,-2,-2
"pi      ",-3,-2,-3,-3,-3,-2
"pi      ",-2,-1,-3,-2,-2,-3
"pi      ",-3,-2,-2,-2,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-3,-3,-2,-1
"pi      ",-3,-3,-3,-2,-2,-3
"pi      ",-3,-3,-3,-3,-3,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,0,-2,-2,-2
"pi      ",-3,-2,-3,-2,-3,-1
"pi      ",-3,0,0,-3,-2,-3
"pi      ",-3,-2,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-2,-3
"pi      ",-2,-2,-3,-1,-2,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-2,-2,-2,-3,0
"pi      ",-1,-2,-2,-1,-1,-2
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-2,-3,-2,-3,-3,-2
"pi      ",-3,-2,-3,-2,-2,-2
"pi      ",-2,-2,-2,-2,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",-3,-3,-3,-3,-3,-3
"pi      ",0,0,-1,-2,-1,0
