"g","van.p1.2_1","van.p1.2_2","van.p1.2_3","van.p1.2_4","van.p1.2_5","van.p1.2_6"
"brasilia",1,9,9,5,5,9
"brasilia",2,3,6,6,2,7
"brasilia",1,9,8,5,5,9
"brasilia",1,9,1,1,1,9
"brasilia",1,9,9,1,5,9
"brasilia",1,9,9,6,1,6
"brasilia",1,9,1,4,5,9
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,9,1,1
"brasilia",1,9,1,1,1,9
"brasilia",2,9,9,4,5,9
"brasilia",1,9,9,4,5,9
"brasilia",1,9,6,5,5,7
"brasilia",1,9,1,4,5,9
"brasilia",4,9,2,5,5,8
"brasilia",5,8,9,7,1,1
"brasilia",3,4,3,8,3,3
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,6,4,9
"brasilia",3,9,5,9,4,4
"brasilia",9,9,9,9,1,1
"brasilia",1,9,9,4,4,9
"brasilia",1,9,9,4,5,9
"brasilia",9,1,8,9,1,1
"brasilia",1,9,1,1,1,9
"brasilia",1,9,1,5,5,9
"brasilia",1,9,1,1,1,1
"brasilia",1,9,1,1,1,9
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,1,5,9
"brasilia",1,9,9,5,5,9
"brasilia",7,7,9,9,1,1
"brasilia",1,9,9,9,5,9
"brasilia",1,9,9,5,1,9
"brasilia",3,6,7,4,5,8
"brasilia",1,9,9,2,5,9
"brasilia",2,9,9,4,5,9
"brasilia",2,9,9,5,4,8
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,5,5,9
"brasilia",1,9,1,1,1,9
"brasilia",1,9,9,5,5,9
"brasilia",5,8,7,4,5,9
"brasilia",1,9,9,1,5,9
"brasilia",3,8,9,7,2,2
"brasilia",1,8,9,5,4,9
"brasilia",1,9,1,1,1,9
"brasilia",1,9,9,4,5,9
"brasilia",1,8,9,5,5,8
"brasilia",2,9,9,5,4,8
"brasilia",1,8,9,4,5,9
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,5,5,9
"brasilia",1,8,9,4,5,9
"brasilia",1,9,9,9,1,1
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,4,5,9
"brasilia",1,9,1,9,2,2
"brasilia",1,8,9,5,5,9
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,4,5,9
"brasilia",2,9,9,4,5,9
"brasilia",1,9,9,4,5,9
"brasilia",1,9,6,2,5,9
"brasilia",1,9,1,2,5,9
"brasilia",1,9,9,1,5,9
"brasilia",1,9,9,5,5,9
"brasilia",1,9,9,5,5,9
"brasilia",1,9,9,1,1,9
"brasilia",2,9,2,5,4,8
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,5,1,9
"brasilia",1,8,9,5,5,8
"brasilia",6,5,6,6,2,4
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,9,1,9
"brasilia",1,8,9,5,5,9
"brasilia",1,9,9,5,5,9
"brasilia",1,9,9,5,5,9
"brasilia",2,9,7,1,5,8
"brasilia",1,9,9,1,4,9
"brasilia",3,8,7,5,1,6
"brasilia",1,9,9,4,5,9
"brasilia",5,8,8,5,4,4
"brasilia",1,9,9,1,5,1
"brasilia",1,9,9,8,5,9
"brasilia",1,9,9,6,3,6
"brasilia",1,9,9,5,5,9
"brasilia",1,9,1,1,1,1
"brasilia",1,9,9,4,5,9
"brasilia",1,9,9,6,1,6
"brasilia",9,1,2,1,9,2
"brasilia",1,9,9,4,5,8
"brasilia",2,9,8,1,5,9
"brasilia",1,9,1,4,5,9
"wilfredlaur",1,7,9,4,5,9
"wilfredlaur",1,9,9,1,5,9
"wilfredlaur",1,9,9,9,1,1
"wilfredlaur",1,9,9,9,1,1
"wilfredlaur",4,4,4,4,4,4
"wilfredlaur",1,9,1,1,1,1
"wilfredlaur",1,9,9,4,5,9
"wilfredlaur",1,9,9,9,1,1
"wilfredlaur",1,9,1,3,3,5
"wilfredlaur",1,9,9,7,5,8
"wilfredlaur",1,9,9,5,5,9
"wilfredlaur",1,9,9,4,5,8
"wilfredlaur",1,9,9,7,3,7
"wilfredlaur",1,9,1,5,5,9
"wilfredlaur",9,9,9,9,1,1
"wilfredlaur",1,9,9,5,5,9
"wilfredlaur",1,9,9,4,5,9
"wilfredlaur",1,9,9,8,4,6
"wilfredlaur",9,1,5,9,6,7
"wilfredlaur",1,9,9,6,5,9
"wilfredlaur",1,8,9,5,5,9
"wilfredlaur",4,5,3,6,7,5
"wilfredlaur",1,9,9,5,5,9
"wilfredlaur",1,8,9,5,5,9
"wilfredlaur",1,9,9,1,1,1
"wilfredlaur",1,9,9,4,5,9
"wilfredlaur",1,9,9,5,5,9
"wilfredlaur",1,9,9,4,5,9
"wilfredlaur",1,9,9,6,5,9
"wilfredlaur",1,9,9,6,5,9
"wilfredlaur",1,9,9,9,1,1
"wilfredlaur",2,7,9,4,3,8
"wilfredlaur",1,9,9,9,1,1
"wilfredlaur",1,9,9,1,1,1
"wilfredlaur",2,9,9,9,1,1
"wilfredlaur",1,9,1,1,1,1
"wilfredlaur",1,9,9,4,5,9
"wilfredlaur",1,9,9,9,1,1
"wilfredlaur",1,9,9,5,3,1
"wilfredlaur",2,8,9,5,4,7
"wilfredlaur",1,9,9,5,4,9
"wilfredlaur",4,9,9,9,1,1
"wilfredlaur",1,9,9,9,1,9
"wilfredlaur",9,9,9,5,5,9
"wilfredlaur",6,7,8,9,1,1
"wilfredlaur",1,9,9,4,5,9
"wilfredlaur",1,9,9,4,5,9
"wilfredlaur",1,9,9,9,5,9
"wilfredlaur",1,9,9,5,5,1
