"g","and1.3_1","and1.3_2","and1.3_3","and1.3_4","and1.3_5"
"brasilia",5,4,4,6,2
"brasilia",3,5,4,2,3
"brasilia",2,6,3,5,5
"brasilia",6,7,7,7,6
"brasilia",5,6,5,5,6
"brasilia",1,1,2,1,2
"brasilia",4,4,4,4,4
"brasilia",5,6,6,6,5
"brasilia",6,5,1,5,7
"brasilia",3,5,5,3,4
"brasilia",6,5,6,6,6
"brasilia",7,7,7,6,7
"brasilia",2,7,3,1,2
"brasilia",1,1,1,1,1
"brasilia",4,5,5,6,3
"brasilia",5,6,5,5,6
"brasilia",4,7,6,5,7
"brasilia",3,5,5,3,2
"brasilia",3,3,6,6,6
"brasilia",6,7,7,6,5
"brasilia",6,5,3,6,2
"brasilia",4,6,3,5,3
"brasilia",7,6,7,6,7
"brasilia",5,7,6,7,7
"brasilia",3,6,6,5,2
"brasilia",3,2,3,5,5
"brasilia",5,7,7,7,7
"brasilia",2,2,2,5,2
"brasilia",6,7,5,6,7
"brasilia",5,6,5,6,3
"brasilia",2,6,4,5,3
"brasilia",5,7,6,5,3
"brasilia",6,5,7,6,5
"brasilia",3,3,3,5,6
"brasilia",4,6,5,6,5
"brasilia",7,4,7,7,7
"brasilia",3,5,4,6,5
"brasilia",5,3,7,6,5
"brasilia",4,5,6,4,5
"brasilia",5,6,6,4,5
"brasilia",5,5,5,5,1
"brasilia",4,6,6,5,4
"brasilia",6,5,6,6,6
"brasilia",5,6,5,6,6
"brasilia",4,3,5,4,1
"brasilia",5,5,6,6,6
"brasilia",5,6,6,5,7
"brasilia",5,7,6,5,7
"brasilia",7,7,7,7,6
"brasilia",3,3,5,6,3
"brasilia",1,4,5,3,1
"brasilia",3,5,4,4,2
"brasilia",1,4,2,1,1
"wilfredlaur",7,7,7,6,7
"wilfredlaur",5,5,5,5,5
"wilfredlaur",1,1,1,1,7
"wilfredlaur",6,7,7,6,4
"wilfredlaur",5,6,5,7,4
"wilfredlaur",5,7,6,6,6
"wilfredlaur",6,7,6,6,7
"wilfredlaur",4,6,6,5,4
"wilfredlaur",5,5,5,5,3
"wilfredlaur",5,6,6,6,5
"wilfredlaur",5,6,6,6,3
"wilfredlaur",5,6,5,6,5
"wilfredlaur",3,6,3,4,1
"wilfredlaur",4,5,6,6,6
"wilfredlaur",2,2,3,2,2
"wilfredlaur",7,7,7,6,6
"wilfredlaur",5,7,6,6,2
"wilfredlaur",5,6,6,6,2
"wilfredlaur",5,6,6,6,6
"wilfredlaur",5,6,6,5,2
"wilfredlaur",5,6,7,6,2
"wilfredlaur",7,7,7,5,3
"wilfredlaur",3,7,5,5,6
"wilfredlaur",5,6,1,6,3
"wilfredlaur",7,7,7,7,7
"wilfredlaur",5,5,6,3,5
"wilfredlaur",5,6,6,7,5
"wilfredlaur",6,5,3,6,6
"wilfredlaur",5,6,6,5,3
"wilfredlaur",1,1,2,2,6
"wilfredlaur",6,6,6,6,7
"wilfredlaur",5,4,5,2,2
"wilfredlaur",5,6,6,3,5
"wilfredlaur",6,7,6,7,6
"wilfredlaur",6,6,6,7,5
"wilfredlaur",5,5,5,6,2
"wilfredlaur",4,6,6,5,5
"wilfredlaur",6,6,6,6,5
"wilfredlaur",5,7,4,6,3
"wilfredlaur",4,5,5,3,2
"ubc",5,5,5,3,3
"ubc",5,6,6,4,2
"ubctab",5,6,6,6,5
"ubc",5,6,6,6,6
"ubctab",4,4,6,5,2
"ubc",5,6,6,6,6
"ubc",4,6,6,6,3
"ubctab",6,6,6,6,2
"ubctab",3,5,3,3,1
"ubc",4,3,5,5,3
"ubc",3,6,5,4,4
"ubc",6,7,7,7,7
"ubc",5,6,5,6,2
"ubctab",4,3,5,3,3
