"g","and1.4_2","and1.4_3","and1.4_6","and1.4_7","and1.4_10","and1.4_11","and1.4_13","and1.4_15","and1.4_16","and1.4_20"
"brasilia",3,1,1,1,1,2,1,1,4,2
"brasilia",2,4,1,3,4,2,3,4,4,2
"brasilia",1,1,2,2,5,1,1,1,5,1
"brasilia",1,1,1,1,3,1,2,1,3,2
"brasilia",4,3,1,3,2,1,1,2,3,2
"brasilia",3,3,2,3,4,1,3,2,1,2
"brasilia",3,3,3,3,3,3,3,3,3,3
"brasilia",2,2,1,1,1,1,3,1,1,3
"brasilia",5,1,4,3,3,3,4,2,3,2
"brasilia",3,2,5,1,2,2,3,3,3,3
"brasilia",2,1,2,2,1,3,1,1,1,1
"brasilia",1,1,1,2,3,1,3,3,2,1
"brasilia",4,1,3,3,1,1,1,3,2,5
"brasilia",5,5,1,5,5,1,1,5,5,1
"brasilia",2,1,2,1,2,1,1,1,2,1
"brasilia",1,1,4,1,3,1,1,1,5,3
"brasilia",1,1,1,1,1,1,1,1,1,1
"brasilia",1,3,1,2,1,1,3,2,3,1
"brasilia",2,1,1,3,2,3,1,3,4,1
"brasilia",1,2,2,1,3,4,3,1,4,2
"brasilia",4,4,1,4,2,1,4,4,3,1
"brasilia",1,1,1,2,1,1,1,1,4,1
"brasilia",3,2,1,1,1,1,1,1,4,1
"brasilia",1,3,1,2,1,1,1,1,2,1
"brasilia",2,4,2,3,2,2,3,1,3,1
"brasilia",3,3,2,4,4,3,4,3,3,2
"brasilia",1,1,1,1,1,2,1,1,2,1
"brasilia",4,3,1,2,4,1,1,1,2,1
"brasilia",2,2,2,2,3,3,2,2,4,1
"brasilia",1,2,1,1,1,1,1,1,5,1
"brasilia",4,2,1,3,2,1,1,1,3,1
"brasilia",3,3,2,2,4,3,1,1,1,1
"brasilia",1,1,1,1,1,1,1,1,1,1
"brasilia",1,1,1,1,1,1,1,1,1,1
"brasilia",2,3,1,2,3,1,1,1,2,1
"brasilia",2,4,1,1,1,1,3,2,3,1
"brasilia",2,2,1,2,1,2,1,1,1,1
"brasilia",3,1,2,2,1,1,1,3,2,1
"brasilia",2,1,1,1,2,1,1,1,3,1
"brasilia",1,4,3,4,4,1,4,1,3,5
"brasilia",1,1,1,1,1,1,1,1,1,1
"brasilia",3,4,2,2,2,2,3,1,4,3
"brasilia",5,2,1,2,2,2,2,3,2,1
"brasilia",1,1,2,1,1,1,1,1,1,1
"brasilia",2,2,1,1,1,3,1,1,3,1
"brasilia",1,1,1,1,1,1,1,1,2,1
"brasilia",5,4,1,5,4,1,2,5,4,2
"brasilia",1,2,1,1,2,1,2,1,3,2
"brasilia",3,4,1,3,4,1,1,3,4,1
"brasilia",1,1,1,1,1,4,2,2,3,4
"brasilia",2,1,2,1,1,1,1,1,3,1
"brasilia",2,1,1,2,3,1,1,3,4,1
"brasilia",2,5,4,2,4,5,5,3,5,3
"wilfredlaur",2,1,1,1,1,1,1,1,1,1
"wilfredlaur",2,3,1,2,2,1,1,1,3,2
"wilfredlaur",2,1,1,1,1,1,1,1,1,1
"wilfredlaur",4,4,2,4,4,3,1,4,4,1
"wilfredlaur",1,1,1,1,1,2,1,1,2,1
"wilfredlaur",2,1,1,1,1,1,1,1,2,1
"wilfredlaur",1,2,1,1,2,1,1,1,1,1
"wilfredlaur",1,1,1,1,1,1,1,1,1,1
"wilfredlaur",2,1,1,1,1,1,1,1,3,1
"wilfredlaur",1,2,1,1,2,1,1,1,1,1
"wilfredlaur",1,2,1,2,4,1,1,1,3,1
"wilfredlaur",4,3,1,2,4,1,2,2,4,3
"wilfredlaur",3,2,1,1,1,1,1,2,1,1
"wilfredlaur",1,1,1,1,1,1,1,1,1,1
"wilfredlaur",4,3,4,4,3,3,3,2,2,3
"wilfredlaur",1,1,1,1,1,1,1,1,3,1
"wilfredlaur",1,1,1,1,1,1,1,1,1,1
"wilfredlaur",1,1,1,1,1,1,1,1,1,1
"wilfredlaur",1,1,1,1,2,1,1,1,2,1
"wilfredlaur",2,3,1,2,3,2,2,3,3,2
"wilfredlaur",1,1,1,1,2,1,1,1,2,1
"wilfredlaur",2,3,1,1,1,1,1,2,1,3
"wilfredlaur",1,1,1,1,1,1,1,1,1,1
"wilfredlaur",2,1,1,1,1,1,1,1,1,1
"wilfredlaur",2,1,1,1,1,1,1,1,1,1
