"g","geis.dv_1","geis.dv_2","geis.dv_3","geis.dv_4","geis.dv_5"
"unswonline",4,4,4,6,6
"unswonline",6,6,4,6,5
"unswonline",4,4,5,5,4
"unswonline",6,5,7,4,5
"unswonline",5,5,6,6,6
"unswonline",7,7,7,7,3
"unswonline",4,4,5,3,3
"unswonline",6,6,5,7,5
"unswonline",5,6,7,6,6
"unswonline",5,5,5,5,5
"unswonline",3,3,4,5,5
"unswonline",6,6,6,6,6
"unswonline",7,6,6,6,6
"unswonline",2,3,4,3,3
"unswonline",2,2,2,2,2
"unswonline",7,6,6,6,7
"unswonline",4,5,5,4,3
"unswonline",4,5,6,6,6
"unswonline",5,7,7,3,7
"unswonline",6,7,7,7,7
"unswonline",6,6,6,6,6
"unswonline",5,5,5,6,6
"unswonline",6,5,5,6,6
"unswonline",4,5,4,6,6
"unswonline",4,4,4,6,4
"unswonline",5,5,6,6,5
"unswonline",5,6,5,6,5
"unswonline",6,1,3,4,4
"unswonline",4,4,5,5,5
"unswonline",4,4,4,5,4
"unswonline",6,5,6,6,6
"unswonline",4,5,5,6,6
"unswonline",6,5,7,6,4
"unswonline",2,4,4,6,5
"unswonline",5,4,6,6,6
"unswonline",1,1,1,4,3
"unswonline",5,5,4,5,5
"unswonline",5,5,4,5,5
"unswonline",3,5,5,4,4
"unswonline",6,6,6,7,7
"unswonline",4,4,5,6,6
"unswonline",5,5,5,6,6
"unswonline",4,5,4,6,6
"unswonline",3,3,6,5,6
"unswonline",4,6,7,5,6
"unswonline",5,5,5,6,6
"unswonline",6,4,5,2,2
"unswonline",4,4,4,4,4
"unswonline",6,5,4,6,6
"unswonline",5,4,4,4,6
"unswonline",5,5,5,6,6
"unswonline",7,7,4,6,7
"carleton",5,3,4,5,4
"carleton",5,5,4,5,6
"carleton",4,4,4,5,4
"carleton",5,5,5,4,3
"carleton",4,7,7,7,7
"carleton",4,3,5,4,2
"carleton",4,5,3,5,5
"carleton",6,5,5,7,6
"carleton",5,4,5,7,6
"carleton",5,5,5,5,6
"carleton",6,5,5,4,4
"carleton",5,4,5,6,3
"carleton",4,4,4,4,4
"carleton",6,6,6,6,7
"carleton",4,5,5,4,4
"carleton",6,5,5,6,6
"carleton",4,4,4,4,4
"carleton",4,4,4,4,4
"carleton",5,5,5,5,5
"carleton",5,5,5,5,5
"carleton",6,6,7,7,6
"carleton",4,3,5,5,6
"carleton",4,5,5,5,5
"carleton",5,5,5,5,5
"carleton",4,6,5,5,4
"carleton",4,5,4,6,6
"carleton",5,6,5,5,6
"carleton",6,4,5,5,6
"carleton",6,6,6,4,4
"carleton",5,6,6,7,5
"carleton",6,6,6,6,6
"carleton",4,5,5,5,6
"carleton",7,7,7,7,7
"carleton",6,6,6,6,6
"carleton",6,5,5,7,7
"carleton",3,4,5,5,4
"carleton",4,4,4,4,4
"carleton",4,4,4,4,4
"carleton",2,6,6,4,5
"carleton",7,7,7,7,7
"carleton",4,4,4,4,4
"carleton",4,4,4,4,4
"carleton",5,4,4,4,4
"carleton",7,6,6,7,7
"carleton",7,7,7,7,7
"carleton",6,6,7,5,6
"carleton",4,4,4,4,5
"carleton",5,5,5,5,5
"carleton",6,6,6,5,6
"carleton",7,7,4,6,7
"carleton",5,5,5,5,5
"carleton",6,4,4,6,6
"carleton",1,1,1,1,1
"carleton",4,4,5,4,5
"carleton",4,4,4,4,4
"carleton",3,5,5,7,4
"carleton",4,4,4,4,4
"carleton",4,4,4,4,4
"seznam",5,5,5,6,6
"seznam",5,5,5,5,5
"seznam",2,5,6,4,6
"seznam",7,7,7,7,7
"seznam",6,7,7,5,6
"seznam",5,5,5,7,5
"seznam",3,2,3,2,2
"seznam",7,7,7,7,7
"seznam",4,4,4,4,4
"seznam",5,6,4,5,4
"seznam",5,3,4,5,4
"seznam",6,5,4,7,6
"seznam",7,6,7,6,7
"seznam",5,5,6,7,7
"seznam",4,6,5,6,5
"seznam",3,4,5,5,6
"seznam",5,4,4,3,3
"seznam",5,6,6,5,6
"seznam",6,3,7,5,6
"seznam",5,7,6,5,5
"seznam",3,3,3,3,3
"seznam",2,1,1,3,1
"seznam",5,5,6,5,6
"seznam",6,7,7,7,7
"seznam",5,5,5,7,7
"seznam",7,7,7,7,7
