"g","nore1.1","nore1.2","nore1.3","nore1.4","nore1.5","nore1.6","nore1.7","nore1.8","nore1.9","nore1.10","nore1.11","nore1.12","nore1.13","nore1.14","nore1.15","nore1.16","nore1.17","nore1.18","nore1.19","nore1.20"
"unswonline",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"unswonline",0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1
"unswonline",1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1
"unswonline",1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1
"unswonline",0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
"unswonline",0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
"unswonline",0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0
"unswonline",1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0
"unswonline",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"unswonline",1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0
"unswonline",0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0
"unswonline",0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0
"unswonline",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"unswonline",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"unswonline",1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1
"unswonline",1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1
"unswonline",1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0
"unswonline",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"unswonline",0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0
"unswonline",1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0
"unswonline",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"unswonline",1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0
"unswonline",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0
"unswonline",1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0
"unswonline",1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1
"unswonline",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
"unswonline",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"unswonline",1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0
"unswonline",1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0
"unswonline",1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
"unswonline",0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"unswonline",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
"unswonline",0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0
"unswonline",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
"unswonline",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"unswonline",0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
"unswonline",0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"unswonline",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"unswonline",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0
"unswonline",1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0
"carleton",0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"carleton",0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0
"carleton",1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1
"carleton",1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0
"carleton",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"carleton",1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"carleton",0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
"carleton",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
"carleton",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"carleton",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0
"carleton",1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
"carleton",0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"carleton",0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0
"carleton",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"carleton",0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0
"carleton",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"carleton",1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0
"carleton",1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
"carleton",0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0
"carleton",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
"carleton",0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0
"carleton",0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1
"carleton",1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
"carleton",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"carleton",1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"carleton",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"carleton",0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"carleton",0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
"carleton",0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0
"carleton",1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1
"carleton",1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
"carleton",0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
"carleton",1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"carleton",0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1
"carleton",0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1
"carleton",1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1
"carleton",1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1
"carleton",0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"carleton",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
"carleton",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"carleton",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1
"seznam",1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
"seznam",1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"seznam",1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1
"seznam",0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
"seznam",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1
"seznam",1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1
"seznam",0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0
"seznam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"seznam",1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0
"seznam",0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"seznam",0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"seznam",0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1
"seznam",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1
"seznam",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
