"g","zhon.dv.1_2","zhon.dv.1_3","zhon.dv.1_7","zhon.dv.1_8","zhon.dv.1_10"
"unswonline",4,4,5,1,2
"unswonline",4,3,3,2,2
"unswonline",2,1,2,1,2
"unswonline",3,3,3,3,5
"unswonline",5,1,3,1,1
"unswonline",1,5,2,2,4
"unswonline",1,1,1,1,1
"unswonline",3,3,4,3,2
"unswonline",6,1,5,5,5
"unswonline",1,5,4,1,1
"unswonline",2,2,2,1,1
"unswonline",4,4,2,4,4
"unswonline",4,1,1,1,2
"unswonline",1,1,1,1,1
"unswonline",5,5,5,5,5
"unswonline",2,1,1,1,1
"unswonline",6,5,5,4,6
"unswonline",1,1,2,2,2
"unswonline",1,1,1,1,1
"unswonline",5,5,1,1,5
"unswonline",2,3,2,3,3
"unswonline",1,3,5,4,3
"unswonline",4,1,2,3,1
"unswonline",5,1,1,1,4
"unswonline",2,6,5,6,6
"unswonline",7,4,4,4,2
"unswonline",4,3,3,5,5
"unswonline",2,1,2,2,3
"unswonline",4,4,1,5,3
"unswonline",5,5,5,5,5
"unswonline",4,2,3,2,4
"unswonline",3,3,2,3,5
"unswonline",1,1,1,2,1
"unswonline",1,1,1,1,1
"unswonline",4,2,5,3,2
"unswonline",2,2,4,2,3
"unswonline",2,1,1,1,2
"unswonline",7,7,5,7,7
"unswonline",1,5,3,3,3
"unswonline",4,1,4,1,1
"unswonline",2,4,2,6,3
"unswonline",3,1,4,1,1
"unswonline",5,1,2,2,4
"unswonline",1,1,6,2,2
"unswonline",6,5,4,5,4
"unswonline",6,7,5,3,3
"carleton",1,6,4,6,7
"carleton",1,4,7,7,7
"carleton",2,3,3,2,7
"carleton",3,5,3,3,1
"carleton",6,2,2,4,5
"carleton",5,3,2,1,4
"carleton",1,6,4,5,5
"carleton",7,3,5,1,5
"carleton",5,6,2,4,7
"carleton",4,3,6,6,7
"carleton",1,1,1,1,1
"carleton",1,5,1,1,3
"carleton",6,4,5,6,7
"carleton",1,5,5,5,5
"carleton",1,6,5,6,4
"carleton",4,7,5,6,7
"carleton",5,5,7,7,6
"carleton",3,6,7,7,7
"carleton",7,7,7,7,7
"carleton",1,7,2,6,6
"carleton",2,5,4,3,6
"carleton",6,6,6,6,6
"carleton",6,4,2,3,4
"carleton",5,6,3,7,4
"carleton",1,1,1,1,1
"carleton",5,5,7,5,6
"carleton",4,2,4,5,5
"carleton",7,3,6,3,7
"carleton",1,4,6,5,7
"carleton",4,6,4,5,6
"carleton",6,5,5,5,7
"carleton",7,2,5,7,7
"carleton",7,4,5,4,4
"carleton",6,5,5,7,5
"carleton",1,4,1,1,3
"carleton",7,7,1,1,7
"carleton",1,5,1,4,1
"carleton",7,6,2,5,7
"carleton",3,5,6,4,4
"carleton",3,5,5,3,5
"carleton",3,7,7,7,7
"carleton",6,1,5,7,4
"carleton",2,7,6,7,4
"carleton",5,7,5,6,7
"carleton",7,6,4,6,7
"carleton",6,4,3,3,4
"carleton",2,4,2,2,3
"carleton",2,1,4,2,6
"carleton",6,6,4,5,6
"carleton",4,7,5,6,6
"carleton",3,3,3,4,4
"carleton",1,7,7,7,1
"carleton",4,6,2,3,5
"carleton",1,1,6,7,7
"seznam",3,3,2,2,5
"seznam",1,1,1,1,1
"seznam",2,3,2,2,3
"seznam",4,4,4,3,4
"seznam",3,3,1,1,4
"seznam",1,1,1,1,1
"seznam",3,1,2,2,1
"seznam",3,4,3,2,2
"seznam",4,5,4,5,1
"seznam",5,4,1,3,1
"seznam",3,5,4,5,2
"seznam",6,7,1,2,1
"seznam",3,2,4,3,4
"seznam",3,2,1,1,2
"seznam",3,4,3,3,3
"seznam",3,1,2,2,2
"seznam",1,2,2,2,4
"seznam",5,4,4,5,4
"seznam",2,4,1,2,3
"seznam",1,2,2,1,1
"seznam",3,2,1,1,1
"seznam",1,1,2,3,1
"seznam",6,4,2,1,2
"seznam",4,5,2,3,2
"seznam",2,1,1,1,1
"seznam",3,3,2,2,2
"seznam",3,5,1,1,2
"seznam",3,3,3,4,3
"seznam",2,3,1,2,3
"seznam",5,4,5,5,4
"seznam",3,1,3,3,1
"seznam",4,4,4,4,2
"seznam",2,2,1,1,1
"seznam",4,5,3,2,1
"seznam",7,4,3,3,2
"seznam",2,1,2,2,3
"seznam",1,1,1,1,1
"seznam",3,5,4,3,3
"seznam",1,1,3,4,1
"seznam",1,2,6,3,1
"seznam",2,3,3,3,3
"seznamon",2,2,3,3,6
"seznamon",2,2,5,6,6
"seznamon",4,4,5,5,4
"seznamon",5,5,4,5,4
"seznamon",2,1,1,2,2
"seznamon",5,5,5,5,1
"seznamon",3,3,2,2,2
"seznamon",3,3,3,4,2
"seznamon",2,4,1,4,1
"seznamon",1,2,2,1,1
"seznamon",1,1,1,1,1
"seznamon",5,3,1,1,2
"seznamon",5,5,1,1,1
"seznamon",7,1,1,1,1
"seznamon",2,2,2,2,2
"seznamon",2,3,1,4,1
"seznamon",1,1,1,1,1
"seznamon",3,3,1,1,1
"seznamon",5,5,1,3,5
"seznamon",1,1,1,1,1
"seznamon",1,2,5,4,1
"seznamon",2,1,2,2,2
"seznamon",4,6,1,3,1
"seznamon",1,1,1,1,1
"seznamon",2,1,1,1,1
"seznamon",4,3,4,4,4
"seznamon",6,2,4,2,1
"seznamon",3,3,3,6,6
"seznamon",2,3,2,4,4
"seznamon",1,1,1,1,1
"seznamon",1,5,4,6,7
"seznamon",1,5,4,5,4
"seznamon",2,2,1,1,1
"seznamon",4,1,1,1,2
"seznamon",4,5,4,4,6
"seznamon",1,5,4,5,7
"seznamon",4,2,2,2,3
"seznamon",2,2,1,1,1
"seznamon",5,4,4,6,6
"seznamon",1,1,1,1,2
"seznamon",2,5,4,4,3
"seznamon",2,6,5,4,4
"seznamon",1,1,1,1,1
"seznamon",1,1,1,1,1
"seznamon",1,1,5,5,1
"seznamon",5,2,5,5,2
"seznamon",1,1,1,1,1
"seznamon",7,1,1,3,5
"seznamon",4,4,1,3,1
"seznamon",1,1,1,1,1
"tilburg",5,1,1,1,1
