"g","elm_01","elm_02","elm_03","elm_04","elm_05"
"AshlandUniversity",7,7,7,6,6
"AshlandUniversity",9,9,9,9,9
"AshlandUniversity",9,9,9,9,7
"AshlandUniversity",5,6,5,5,5
"AshlandUniversity",5,3,6,3,4
"AshlandUniversity",7,8,5,4,4
"AshlandUniversity",6,7,5,6,7
"AshlandUniversity",7,7,8,7,8
"AshlandUniversity",7,8,7,6,6
"AshlandUniversity",6,3,1,4,5
"AshlandUniversity",6,6,5,6,5
"AshlandUniversity",7,6,7,8,6
"AshlandUniversity",6,6,5,7,5
"AshlandUniversity",6,5,4,4,4
"AshlandUniversity",9,7,7,4,7
"AshlandUniversity",8,8,9,9,9
"AshlandUniversity",9,9,8,7,8
"AshlandUniversity",7,6,5,6,6
"AshlandUniversity",7,7,8,7,9
"AshlandUniversity",5,6,6,7,6
"AshlandUniversity",9,6,7,7,9
"AshlandUniversity",9,8,9,8,9
"AshlandUniversity",6,7,3,7,7
"AshlandUniversity",7,7,8,8,9
"AshlandUniversity",6,5,5,5,6
"AshlandUniversity",6,4,3,4,5
"AshlandUniversity",4,4,1,3,3
"AshlandUniversity",4,5,5,5,6
"AshlandUniversity",7,3,1,5,6
"AshlandUniversity",6,5,4,4,6
"AshlandUniversity",8,7,7,6,7
"AshlandUniversity",9,7,9,8,8
"AshlandUniversity",7,5,6,4,4
"AshlandUniversity",6,6,3,5,6
"AshlandUniversity",4,5,7,7,5
"AshlandUniversity",7,9,8,8,9
"AshlandUniversity",8,8,9,7,7
"AshlandUniversity",3,1,2,2,3
"AshlandUniversity",8,7,7,9,8
"AshlandUniversity",4,5,3,3,4
"AshlandUniversity",7,4,7,6,6
"AshlandUniversity",7,4,5,3,4
"AshlandUniversity",4,4,7,6,5
"AshlandUniversity",7,5,8,5,6
"AshlandUniversity",4,6,4,6,4
"AshlandUniversity",8,5,6,4,7
"AshlandUniversity",9,6,9,6,6
"AshlandUniversity",7,4,7,6,7
"AshlandUniversity",6,5,3,6,3
"AshlandUniversity",5,5,6,5,5
"AshlandUniversity",7,6,9,6,7
"AshlandUniversity",7,7,8,7,7
"AshlandUniversity",4,4,6,4,5
"AshlandUniversity",9,9,9,9,7
"AshlandUniversity",4,5,3,4,5
"AshlandUniversity",8,5,9,8,9
"AshlandUniversity",8,3,8,7,7
"AshlandUniversity",7,5,4,7,7
"AshlandUniversity",6,4,5,5,6
