"g","nfc_01","nfc_02","nfc_03","nfc_04","nfc_05","nfc_06"
"AshlandUniversity",3,4,4,3,2,3
"AshlandUniversity",1,2,5,1,3,2
"AshlandUniversity",5,5,1,5,5,5
"AshlandUniversity",4,4,4,1,1,1
"AshlandUniversity",2,2,2,3,4,2
"AshlandUniversity",4,3,4,2,3,2
"AshlandUniversity",4,1,2,5,4,2
"AshlandUniversity",2,4,3,2,3,2
"AshlandUniversity",3,2,4,3,3,4
"AshlandUniversity",3,2,4,3,4,4
"AshlandUniversity",3,2,4,3,2,2
"AshlandUniversity",2,3,5,2,1,3
"AshlandUniversity",2,3,4,3,3,2
"AshlandUniversity",3,2,3,2,2,2
"AshlandUniversity",4,4,4,2,2,2
"AshlandUniversity",2,3,2,2,3,4
"AshlandUniversity",5,1,3,3,3,2
"AshlandUniversity",3,4,2,2,4,3
"AshlandUniversity",3,2,3,3,4,3
"AshlandUniversity",3,4,3,2,3,4
"AshlandUniversity",1,1,4,5,1,2
"AshlandUniversity",2,4,5,1,3,4
"AshlandUniversity",3,4,2,3,4,2
"AshlandUniversity",2,3,2,1,4,4
"AshlandUniversity",2,2,4,4,2,2
"AshlandUniversity",4,2,3,4,4,5
"AshlandUniversity",3,4,2,4,2,3
"AshlandUniversity",3,4,4,4,4,3
"AshlandUniversity",1,2,5,1,4,4
"AshlandUniversity",3,2,2,3,4,2
"AshlandUniversity",3,2,2,3,3,2
"AshlandUniversity",2,2,2,4,2,2
"AshlandUniversity",4,3,4,3,3,4
"AshlandUniversity",3,2,2,3,5,4
"AshlandUniversity",2,2,2,3,4,2
"AshlandUniversity",5,1,4,4,5,2
"AshlandUniversity",4,2,3,4,5,1
"AshlandUniversity",3,2,2,4,4,2
"AshlandUniversity",2,2,4,3,3,4
"AshlandUniversity",4,2,4,2,2,2
"AshlandUniversity",2,3,4,3,4,3
"AshlandUniversity",3,1,4,5,4,1
"AshlandUniversity",2,2,4,2,4,4
"AshlandUniversity",1,4,4,3,3,2
"AshlandUniversity",2,3,2,4,4,2
"AshlandUniversity",2,2,5,2,3,4
"AshlandUniversity",2,2,4,4,5,5
"AshlandUniversity",2,2,4,2,3,4
"AshlandUniversity",4,1,4,2,5,2
"AshlandUniversity",4,2,4,4,2,1
"AshlandUniversity",1,2,4,1,2,3
"AshlandUniversity",4,2,4,3,2,2
"AshlandUniversity",2,4,4,3,4,2
"AshlandUniversity",3,2,4,2,4,3
"AshlandUniversity",3,2,4,2,4,2
"AshlandUniversity",3,4,5,3,3,3
"AshlandUniversity",2,2,4,3,3,3
"AshlandUniversity",4,2,4,3,2,2
"AshlandUniversity",4,2,3,2,3,4
"AshlandUniversity",4,2,4,5,4,3
"AshlandUniversity",2,2,4,2,3,2
"AshlandUniversity",3,4,3,3,3,3
"AshlandUniversity",4,1,3,4,4,2
"AshlandUniversity",2,5,4,3,3,4
"AshlandUniversity",2,2,4,5,4,2
"AshlandUniversity",2,4,4,3,2,4
"AshlandUniversity",2,3,4,2,3,4
"AshlandUniversity",5,2,3,4,1,3
"AshlandUniversity",5,5,5,5,5,5
"AshlandUniversity",3,2,2,3,3,2
"AshlandUniversity",2,2,2,3,4,2
"AshlandUniversity",3,3,3,2,3,3
"AshlandUniversity",2,3,4,2,2,4
"AshlandUniversity",1,3,4,3,1,2
"AshlandUniversity",2,4,4,3,4,4
"AshlandUniversity",2,3,4,2,3,2
"AshlandUniversity",3,4,5,3,2,4
"AshlandUniversity",3,2,2,4,4,2
"AshlandUniversity",3,3,3,3,4,2
"AshlandUniversity",2,2,3,3,3,2
"AshlandUniversity",4,3,3,2,3,3
"AshlandUniversity",3,1,3,4,4,3
"AshlandUniversity",3,2,4,4,4,1
"AshlandUniversity",2,4,2,3,5,2
"AshlandUniversity",2,4,3,2,4,2
"BradleyUniversity",4,1,3,3,4,2
"BradleyUniversity",4,2,3,2,4,4
"BradleyUniversity",4,3,2,4,4,2
"BradleyUniversity",3,2,4,3,3,4
"BradleyUniversity",3,2,2,4,4,2
"BradleyUniversity",4,2,4,2,4,4
"BradleyUniversity",2,1,3,4,3,5
"BradleyUniversity",2,3,4,4,2,4
"BradleyUniversity",2,4,3,2,3,2
"BradleyUniversity",2,1,4,4,4,3
"BradleyUniversity",3,2,4,3,3,2
"BradleyUniversity",4,2,2,3,4,2
"BradleyUniversity",2,3,5,2,2,2
"BradleyUniversity",4,2,4,2,4,4
"BradleyUniversity",3,1,3,4,3,2
"BradleyUniversity",3,3,3,3,3,3
"BradleyUniversity",3,3,3,2,2,4
"BradleyUniversity",4,2,3,3,4,2
"BradleyUniversity",3,5,4,5,5,2
"BradleyUniversity",1,4,4,4,4,2
"BradleyUniversity",2,4,4,4,3,2
"BradleyUniversity",3,1,4,4,3,2
"BradleyUniversity",5,2,2,4,4,4
"BradleyUniversity",4,1,4,1,4,4
"BradleyUniversity",1,3,3,3,2,3
"BradleyUniversity",3,3,4,4,4,3
"BradleyUniversity",2,2,3,2,1,3
"BradleyUniversity",3,3,5,3,2,2
"BradleyUniversity",2,2,4,2,4,2
"BradleyUniversity",3,2,2,3,4,2
"BradleyUniversity",2,3,1,4,3,4
"BradleyUniversity",4,1,2,3,4,2
"BradleyUniversity",2,2,2,3,1,1
"BradleyUniversity",1,4,2,4,2,2
"BradleyUniversity",2,2,3,2,4,3
"BradleyUniversity",2,3,4,2,2,3
"BradleyUniversity",4,4,4,4,4,2
"BradleyUniversity",2,3,4,3,3,2
"BradleyUniversity",2,2,4,2,4,4
"BradleyUniversity",5,4,4,1,3,5
"BradleyUniversity",3,2,5,3,3,2
"BradleyUniversity",3,3,4,3,3,4
"BradleyUniversity",4,2,3,4,4,2
"BradleyUniversity",4,3,4,4,5,2
"BradleyUniversity",2,2,5,2,4,3
"BradleyUniversity",3,1,2,4,4,2
"BradleyUniversity",2,2,2,4,4,2
"BradleyUniversity",2,2,4,3,4,3
"BradleyUniversity",1,2,3,3,5,1
"BradleyUniversity",4,2,4,2,4,2
"BradleyUniversity",3,3,3,3,2,2
"BradleyUniversity",4,2,2,2,3,4
"BradleyUniversity",4,2,3,3,4,3
"BradleyUniversity",2,1,2,3,4,3
"BradleyUniversity",2,3,4,3,2,2
"BradleyUniversity",2,4,4,3,3,4
"BradleyUniversity",2,5,2,3,4,3
"BradleyUniversity",2,3,3,3,3,2
"BradleyUniversity",1,4,5,2,2,4
"BradleyUniversity",3,2,4,4,5,3
"BradleyUniversity",4,2,5,5,3,2
"BradleyUniversity",4,3,4,5,4,1
"BradleyUniversity",4,2,4,4,4,4
"BradleyUniversity",2,4,4,2,2,2
"BradleyUniversity",3,2,2,2,4,2
"BradleyUniversity",3,3,4,4,4,3
"BradleyUniversity",2,4,4,2,2,4
"BradleyUniversity",4,2,2,4,4,3
"BradleyUniversity",3,2,4,3,5,4
"BradleyUniversity",2,3,4,4,2,3
"BradleyUniversity",2,2,2,2,2,4
"BradleyUniversity",3,2,3,2,3,3
"BradleyUniversity",3,4,2,4,5,2
"BradleyUniversity",3,2,3,4,3,2
"BradleyUniversity",3,2,4,4,3,3
"BradleyUniversity",2,2,4,4,4,2
