"g","big5_03","big5_04"
"AshlandUniversity",6,5
"AshlandUniversity",7,7
"AshlandUniversity",7,5
"AshlandUniversity",5,5
"AshlandUniversity",7,3
"AshlandUniversity",3,2
"AshlandUniversity",5,6
"AshlandUniversity",4,5
"AshlandUniversity",5,2
"AshlandUniversity",7,3
"AshlandUniversity",6,4
"AshlandUniversity",6,1
"AshlandUniversity",6,6
"AshlandUniversity",6,5
"AshlandUniversity",7,4
"AshlandUniversity",7,2
"AshlandUniversity",7,5
"AshlandUniversity",6,5
"AshlandUniversity",6,6
"AshlandUniversity",6,5
"AshlandUniversity",6,7
"AshlandUniversity",6,6
"AshlandUniversity",5,3
"AshlandUniversity",6,5
"AshlandUniversity",6,5
"AshlandUniversity",7,6
"AshlandUniversity",6,5
"AshlandUniversity",5,4
"AshlandUniversity",6,4
"AshlandUniversity",6,5
"AshlandUniversity",6,6
"AshlandUniversity",6,2
"AshlandUniversity",7,3
"AshlandUniversity",6,2
"AshlandUniversity",6,1
"AshlandUniversity",6,1
"AshlandUniversity",5,3
"AshlandUniversity",7,3
"AshlandUniversity",7,7
"AshlandUniversity",7,6
"AshlandUniversity",7,2
"AshlandUniversity",6,2
"AshlandUniversity",5,3
"AshlandUniversity",6,2
"AshlandUniversity",6,2
"AshlandUniversity",6,7
"AshlandUniversity",7,6
"AshlandUniversity",5,6
"AshlandUniversity",7,2
"AshlandUniversity",6,4
"AshlandUniversity",6,3
"AshlandUniversity",6,2
"AshlandUniversity",7,5
"AshlandUniversity",7,6
"AshlandUniversity",7,3
"AshlandUniversity",6,2
"AshlandUniversity",7,7
"AshlandUniversity",6,5
"AshlandUniversity",7,4
"AshlandUniversity",7,3
"AshlandUniversity",6,3
"AshlandUniversity",5,7
"AshlandUniversity",6,5
"AshlandUniversity",7,2
"AshlandUniversity",6,5
"AshlandUniversity",5,4
"AshlandUniversity",7,7
"AshlandUniversity",6,6
"AshlandUniversity",7,1
"AshlandUniversity",6,5
"AshlandUniversity",5,3
"AshlandUniversity",6,4
"AshlandUniversity",7,2
"AshlandUniversity",6,4
"AshlandUniversity",7,2
"AshlandUniversity",6,5
"AshlandUniversity",7,3
"AshlandUniversity",6,3
"AshlandUniversity",5,5
"AshlandUniversity",7,3
"AshlandUniversity",7,2
"AshlandUniversity",6,5
"AshlandUniversity",4,6
"AshlandUniversity",7,5
"BradleyUniversity",7,3
"BradleyUniversity",6,4
"BradleyUniversity",6,2
"BradleyUniversity",4,5
"BradleyUniversity",6,5
"BradleyUniversity",6,4
"BradleyUniversity",2,5
"BradleyUniversity",6,5
"BradleyUniversity",7,5
"BradleyUniversity",6,4
"BradleyUniversity",5,3
"BradleyUniversity",6,2
"BradleyUniversity",7,3
"BradleyUniversity",7,5
"BradleyUniversity",7,5
"BradleyUniversity",3,5
"BradleyUniversity",2,6
"BradleyUniversity",5,5
"BradleyUniversity",6,2
"BradleyUniversity",7,7
"BradleyUniversity",7,5
"BradleyUniversity",6,5
"BradleyUniversity",6,5
"BradleyUniversity",6,4
"BradleyUniversity",7,6
"BradleyUniversity",6,3
"BradleyUniversity",7,1
"BradleyUniversity",7,5
"BradleyUniversity",7,5
"BradleyUniversity",7,5
"BradleyUniversity",6,5
"BradleyUniversity",6,5
"BradleyUniversity",6,2
"BradleyUniversity",7,7
"BradleyUniversity",7,1
"BradleyUniversity",7,2
"BradleyUniversity",7,2
"BradleyUniversity",6,2
"BradleyUniversity",5,2
"BradleyUniversity",7,2
"BradleyUniversity",6,6
"BradleyUniversity",6,2
"BradleyUniversity",2,2
"BradleyUniversity",4,3
"BradleyUniversity",6,3
"BradleyUniversity",7,3
"BradleyUniversity",6,3
