"g","SAT1","SAT2","SAT3","SAT4","SAT5","SAT6","SAT7","SAT8","SAT9","SAT10","SAT11","SAT12","SAT13","SAT14","SAT15"
"Oregon",1,0,0,1,1,1,0,1,1,1,1,0,1,1,1
"Toronto",0,0,0,1,1,1,0,1,0,1,1,0,1,0,1
"Illinois",1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
"Toronto",1,0,0,0,1,1,0,0,0,0,1,0,1,0,1
"Wesleyan",1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
"Toronto",0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
"Oregon",0,1,0,1,1,1,1,1,1,0,1,1,1,1,1
"Oregon",0,0,0,1,1,1,0,0,1,0,1,0,1,1,0
"Toronto",0,0,0,1,1,1,1,0,0,1,0,0,0,1,1
"Illinois",0,0,1,0,0,1,0,0,0,0,1,1,1,1,0
"Oregon",0,0,0,1,0,1,1,0,0,1,1,1,1,1,1
"Oregon",0,1,0,1,1,0,0,0,1,1,0,1,1,0,1
"Oregon",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
"Illinois",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"Oregon",1,1,0,0,1,1,0,1,0,0,0,0,1,0,0
"Illinois",0,0,0,1,0,1,1,0,0,0,1,0,1,1,1
"Wesleyan",0,1,0,0,1,1,1,1,0,0,1,1,1,1,1
"Oregon",1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
"Wesleyan",0,1,0,0,1,1,1,0,0,1,1,0,1,1,0
"Wesleyan",0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
"Oregon",1,0,0,1,1,0,1,0,0,1,1,0,1,1,1
"Toronto",1,1,0,1,0,1,0,0,0,0,0,1,1,1,0
"Toronto",0,0,0,1,0,1,1,0,1,0,1,0,0,0,1
"Oregon",0,0,0,1,1,1,1,1,0,0,1,0,1,0,0
"Oregon",0,0,0,1,1,1,1,0,1,0,1,0,1,1,1
"Oregon",1,0,0,0,1,1,0,1,0,0,1,0,0,1,1
"Wesleyan",1,0,0,1,0,1,1,0,0,0,1,0,0,1,1
"Oregon",0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
"Toronto",1,1,0,1,1,1,0,0,0,0,0,1,1,0,0
"Toronto",0,0,0,1,1,1,1,1,0,0,1,0,1,0,1
"Illinois",1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
"Illinois",0,0,0,1,1,1,1,1,0,0,0,0,1,0,0
"Wesleyan",0,0,0,1,0,1,0,1,1,0,1,0,1,1,0
"Toronto",0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
"Illinois",0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
"Illinois",0,0,1,0,0,1,0,1,1,0,0,0,1,0,0
"Wesleyan",1,0,0,1,0,1,1,1,0,0,1,1,1,1,1
"Wesleyan",0,1,0,1,1,1,1,1,0,0,1,1,1,1,1
"Oregon",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Wesleyan",0,0,1,1,1,1,1,1,0,0,1,1,1,0,1
"Illinois",0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
"Oregon",1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
"Oregon",1,1,0,1,1,1,1,0,0,0,1,0,1,0,1
"Toronto",0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
"Illinois",1,0,0,1,0,1,1,0,0,0,1,0,1,0,0
"Wesleyan",1,0,1,1,1,1,1,0,0,1,0,1,1,1,1
"Wesleyan",0,1,0,1,1,1,1,0,0,0,0,0,0,1,1
"Illinois",0,0,0,1,0,1,1,0,1,1,1,0,1,1,1
"Wesleyan",0,1,0,1,1,1,1,0,0,1,1,0,1,1,1
"Wesleyan",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"Illinois",1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
"Wesleyan",1,0,0,0,1,1,1,1,0,1,1,1,1,1,1
"Illinois",1,0,0,1,0,1,1,0,0,1,1,1,1,1,0
"Oregon",0,0,0,1,0,1,1,1,0,0,1,0,1,1,1
"Wesleyan",1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
"Wesleyan",0,0,0,1,0,1,1,0,1,0,1,1,1,1,1
"Illinois",0,0,0,1,1,1,0,0,1,0,1,1,1,0,1
"Oregon",1,0,0,0,1,1,1,1,0,0,1,0,0,0,0
"Oregon",0,1,0,0,0,0,0,1,1,0,1,0,1,1,1
"Wesleyan",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"Oregon",0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
"Wesleyan",0,0,0,0,1,1,0,1,0,0,1,0,1,1,1
"Oregon",0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
"Toronto",0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
"Illinois",0,1,0,0,1,1,0,0,0,0,1,0,1,1,0
"Toronto",1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"Wesleyan",0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
"Oregon",1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
"Oregon",0,0,0,0,1,1,0,1,1,0,0,0,1,1,0
"Wesleyan",1,0,0,1,1,1,1,1,0,1,1,1,1,1,1
"Toronto",0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
"Illinois",0,1,0,1,1,1,0,1,1,0,1,1,1,0,1
"Toronto",0,1,0,1,0,1,1,0,0,0,0,0,1,0,0
"Wesleyan",1,1,1,1,0,1,1,1,1,0,1,1,1,0,1
"Illinois",0,1,0,1,0,1,0,0,0,0,0,0,1,1,1
"Illinois",1,0,0,1,1,1,1,0,0,0,0,1,0,0,0
"Wesleyan",0,0,1,1,1,1,0,0,0,1,1,1,1,1,1
"Wesleyan",1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
"Wesleyan",0,1,0,1,1,1,0,0,0,0,1,0,0,0,0
"Wesleyan",0,1,0,1,0,1,1,1,0,0,1,1,1,0,1
"Wesleyan",0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
"Oregon",1,0,0,1,1,0,0,0,1,0,1,0,1,0,1
"Illinois",1,0,0,1,0,1,1,0,0,1,0,0,1,1,1
"Wesleyan",1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
"Wesleyan",1,1,0,1,0,1,0,1,0,1,1,0,1,1,1
"Toronto",0,1,0,1,1,1,0,0,0,1,0,0,1,0,1
"Illinois",1,0,0,1,1,1,0,1,0,1,1,1,1,1,1
"Toronto",0,0,0,1,0,1,1,0,0,0,1,1,1,1,1
"Illinois",0,0,0,1,1,1,0,0,1,0,1,0,1,1,0
"Oregon",0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
"Illinois",1,1,0,1,0,1,1,0,1,1,1,0,0,1,1
"Oregon",1,0,0,1,1,1,1,0,1,0,0,0,0,0,1
"Wesleyan",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"Illinois",1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
"Toronto",1,1,0,1,1,1,1,0,1,1,0,0,1,1,0
"Oregon",1,1,0,1,1,1,1,0,0,0,1,0,1,1,1
"Oregon",1,1,0,1,1,1,0,0,1,0,0,0,1,1,0
"Oregon",1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"Toronto",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Oregon",0,0,0,1,1,1,1,1,0,1,1,0,1,0,1
"Oregon",0,1,1,1,1,1,0,0,1,1,1,1,1,1,0
"Toronto",0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
"Illinois",1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"Toronto",1,1,0,1,0,1,0,0,0,0,1,0,1,0,1
"Toronto",0,1,0,1,0,0,1,0,0,1,0,0,1,1,0
"Toronto",0,0,0,1,1,1,0,0,0,1,1,0,0,0,0
"Toronto",1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
"Wesleyan",0,0,0,1,0,1,1,0,0,1,1,0,1,0,1
"Oregon",1,1,0,1,1,1,0,1,0,1,1,1,1,0,0
"Wesleyan",0,1,0,1,1,1,0,1,0,1,0,0,1,0,1
"Oregon",1,0,0,1,0,1,1,1,0,0,1,0,1,1,1
"Illinois",0,1,0,1,1,1,0,1,0,1,0,0,0,0,0
"Oregon",0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
"Oregon",1,0,0,0,0,1,1,0,1,0,1,0,1,1,1
"Oregon",1,0,0,1,1,1,0,1,0,0,1,0,1,1,0
"Toronto",0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
"Wesleyan",1,0,0,0,1,1,1,0,0,1,1,0,1,1,1
"Oregon",0,0,0,1,0,1,1,0,0,0,0,1,1,0,0
"Oregon",0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
"Toronto",0,1,0,1,0,1,1,1,0,1,1,0,1,1,1
"Illinois",0,1,0,1,1,1,1,1,1,0,1,1,1,1,1
"Oregon",1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
"Oregon",0,1,0,1,1,1,0,1,0,0,1,1,1,0,1
"Oregon",1,0,0,1,0,1,0,0,0,0,1,0,1,1,0
"Toronto",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"Toronto",1,0,0,1,0,1,1,0,0,0,1,1,1,1,0
"Illinois",0,1,0,1,1,1,0,1,0,0,0,1,1,0,0
"Toronto",0,1,0,1,1,0,1,0,1,1,0,0,0,0,0
"Toronto",0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
"Illinois",1,1,0,1,0,1,1,0,0,1,1,0,0,1,1
"Oregon",0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
"Oregon",0,1,0,0,0,1,1,0,0,0,1,0,0,1,1
"Illinois",0,0,0,1,1,1,0,1,0,1,1,1,1,0,1
"Oregon",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Toronto",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Illinois",0,0,0,1,1,1,0,0,0,0,1,0,1,0,0
"Oregon",0,0,0,1,0,1,1,0,0,1,0,0,0,1,1
"Toronto",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Oregon",0,0,0,0,1,1,1,0,0,0,0,1,1,0,1
"Illinois",1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
"Oregon",1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
"Oregon",1,1,0,1,0,1,1,1,1,0,1,0,1,0,1
"Toronto",0,1,0,1,0,1,0,1,0,0,1,1,1,1,1
"Illinois",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"Oregon",0,0,1,1,1,0,1,0,1,1,1,1,1,0,1
"Toronto",0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
"Toronto",1,0,0,0,1,1,1,0,0,1,0,0,1,0,1
"Illinois",0,1,0,1,0,1,0,0,0,1,0,1,1,1,1
"Oregon",0,0,0,0,1,0,1,0,0,1,0,0,1,1,0
"Oregon",1,0,0,0,0,1,0,0,0,1,1,1,1,1,1
"Illinois",1,0,1,1,0,1,1,1,0,0,1,0,1,1,1
"Oregon",1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
"Toronto",1,1,1,0,1,1,0,1,0,0,0,0,1,0,1
"Toronto",0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
"Illinois",0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
"Oregon",0,0,1,1,0,1,1,0,0,0,1,0,1,1,0
"Toronto",1,0,0,1,1,1,1,0,0,0,1,1,1,0,1
"Oregon",0,1,0,0,1,1,1,0,0,0,1,1,1,1,1
"Oregon",0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
"Toronto",1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"Toronto",0,0,0,1,0,1,1,0,1,1,0,0,1,0,0
"Oregon",1,0,0,1,0,1,0,1,1,1,1,0,1,0,1
"Wesleyan",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"Oregon",0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
"Toronto",0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
"Oregon",0,1,0,1,1,1,1,0,0,0,0,0,1,1,1
"Wesleyan",1,0,0,1,1,1,0,1,0,0,1,0,1,1,1
"Illinois",0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
"Toronto",0,1,0,1,1,1,0,1,1,0,1,1,0,1,0
"Illinois",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"Toronto",1,1,0,0,1,1,1,0,0,1,1,1,1,0,1
"Oregon",0,0,1,0,1,1,0,0,0,1,1,0,1,0,0
"Toronto",0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
"Wesleyan",0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
"Illinois",1,0,0,1,1,1,0,0,0,0,1,0,1,0,1
"Toronto",1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
"Wesleyan",1,1,1,1,0,1,1,0,1,0,0,1,0,0,1
"Oregon",1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
"Wesleyan",1,0,0,0,1,1,1,1,1,0,1,0,1,1,1
"Toronto",0,0,0,1,1,1,0,0,0,1,1,0,1,0,0
"Illinois",0,0,0,1,0,1,1,0,0,1,1,1,1,1,1
"Oregon",1,1,0,0,1,1,1,0,1,0,1,1,1,1,1
"Wesleyan",0,0,0,0,1,1,0,0,0,0,1,0,1,1,1
"Oregon",1,1,0,1,1,1,1,0,0,0,1,0,1,0,1
"Oregon",1,1,0,1,1,1,0,0,0,0,0,0,1,0,0
"Oregon",1,1,0,1,1,1,1,0,0,0,0,1,1,1,1
"Oregon",0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
"Oregon",0,0,0,1,0,1,1,0,1,0,1,1,1,1,1
"Oregon",1,1,0,1,0,1,1,0,0,0,1,0,1,0,1
"Toronto",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"Oregon",0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
"Oregon",1,1,0,1,1,1,1,1,0,0,1,1,1,1,1
"Illinois",1,0,0,1,0,1,1,0,0,0,1,1,1,0,0
"Toronto",0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
"Oregon",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
"Oregon",1,1,0,1,0,1,1,0,0,0,0,1,1,1,1
"Wesleyan",1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
"Oregon",0,1,0,1,0,0,0,0,1,0,1,0,1,1,1
"Wesleyan",1,1,0,1,1,0,0,0,0,0,0,0,1,1,0
"Oregon",1,1,0,0,1,1,1,0,0,0,0,0,1,0,1
"Oregon",0,0,0,1,1,1,0,0,0,0,0,1,1,1,0
"Toronto",1,1,0,1,1,1,0,0,1,0,0,0,0,0,1
"Oregon",0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
"Toronto",0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
"Toronto",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Illinois",0,1,0,1,0,1,1,0,0,1,1,0,1,1,1
"Wesleyan",0,0,1,1,0,1,1,0,1,1,1,0,1,1,1
"Illinois",1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
"Wesleyan",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
