"g","SAT16","SAT17","SAT18","SAT19","SAT20","SAT21"
"Oregon",0,1,0,1,1,1
"Toronto",1,0,0,0,0,0
"Illinois",1,0,0,0,0,0
"Toronto",0,1,1,0,0,1
"Wesleyan",1,1,0,1,1,0
"Toronto",1,1,0,1,1,1
"Oregon",0,0,0,0,0,0
"Oregon",1,1,0,1,0,1
"Toronto",0,1,1,0,0,0
"Illinois",1,1,1,1,1,1
"Oregon",1,1,1,1,1,1
"Oregon",1,1,0,1,1,1
"Oregon",0,1,1,0,0,0
"Illinois",1,1,0,0,0,0
"Oregon",0,1,1,0,0,0
"Illinois",1,1,0,1,1,0
"Wesleyan",1,1,1,1,1,1
"Oregon",1,1,0,1,1,1
"Wesleyan",0,1,1,0,0,1
"Wesleyan",0,1,0,1,1,1
"Oregon",1,1,1,1,1,1
"Toronto",0,0,1,0,0,0
"Toronto",0,1,0,1,0,0
"Oregon",0,1,0,0,1,0
"Oregon",1,1,0,1,1,0
"Oregon",1,1,0,0,0,1
"Wesleyan",1,1,1,1,1,1
"Oregon",0,1,0,1,1,0
"Toronto",0,1,1,0,1,0
"Toronto",0,1,0,1,1,0
"Illinois",1,1,0,0,1,1
"Illinois",1,1,1,0,0,1
"Wesleyan",1,1,0,0,0,1
"Toronto",0,0,1,0,0,0
"Illinois",1,1,0,0,0,0
"Illinois",1,0,1,1,0,0
"Wesleyan",1,0,0,1,0,0
"Wesleyan",0,1,0,1,0,1
"Oregon",0,0,0,0,0,1
"Wesleyan",0,1,0,0,0,1
"Illinois",1,1,0,0,0,1
"Oregon",1,1,1,1,0,1
"Oregon",1,1,1,0,1,0
"Toronto",0,0,0,1,1,0
"Illinois",1,0,0,1,0,1
"Wesleyan",1,1,1,1,0,1
"Wesleyan",1,1,1,1,0,1
"Illinois",1,1,0,1,0,1
"Wesleyan",1,1,0,1,1,1
"Wesleyan",0,0,0,0,1,1
"Illinois",1,1,0,0,1,1
"Wesleyan",0,1,0,0,1,1
"Illinois",1,1,0,1,0,1
"Oregon",1,0,0,0,0,1
"Wesleyan",0,1,1,1,0,1
"Wesleyan",0,1,0,1,1,1
"Illinois",1,1,0,0,1,1
"Oregon",1,1,1,1,1,0
"Oregon",1,1,1,0,1,1
"Wesleyan",0,1,0,1,1,1
"Oregon",0,0,0,0,1,0
"Wesleyan",0,0,0,0,0,0
"Oregon",0,1,0,1,1,1
"Toronto",0,1,1,0,0,1
"Illinois",0,0,0,0,0,0
"Toronto",1,1,1,1,1,1
"Wesleyan",1,1,0,1,0,1
"Oregon",1,0,0,1,0,1
"Oregon",1,0,0,1,0,0
"Wesleyan",1,1,0,1,0,1
"Toronto",0,1,1,0,0,0
"Illinois",0,0,1,0,0,1
"Toronto",1,1,0,1,0,1
"Wesleyan",1,1,0,0,1,1
"Illinois",1,1,0,1,0,1
"Illinois",0,1,0,0,0,1
"Wesleyan",1,1,0,0,0,1
"Wesleyan",0,0,1,0,0,0
"Wesleyan",0,1,0,0,0,0
"Wesleyan",1,1,0,1,0,1
"Wesleyan",0,0,0,1,0,1
"Oregon",1,0,0,1,1,1
"Illinois",1,1,1,1,1,1
"Wesleyan",1,1,0,0,0,1
"Wesleyan",0,1,0,1,1,1
"Toronto",0,1,1,1,0,1
