"g","FAD4","FAD8","FAD12","FAD16","FAD20","FAD23","FAD26"
"Basel",4,5,4,4,1,4,4
"Basel",2,3,4,2,4,2,3
"Basel",3,4,4,5,4,2,2
"Basel",3,3,3,3,4,4,2
"Basel",2,3,4,2,4,3,4
"Basel",5,5,4,5,4,4,5
"Basel",2,4,1,3,4,2,4
"Basel",2,3,4,3,4,3,2
"Basel",3,4,4,4,2,4,4
"Basel",4,4,5,3,4,2,5
"Basel",4,3,3,4,4,3,4
"Basel",3,4,3,2,4,1,2
"Basel",3,4,5,4,5,2,4
"Basel",3,4,3,2,4,3,3
"Basel",1,4,4,2,4,2,2
"Basel",4,2,4,4,4,4,4
"Basel",4,5,3,2,2,2,4
"Basel",2,2,4,4,5,2,4
"Basel",2,4,3,4,5,4,2
"Basel",1,5,2,1,2,1,2
"Basel",3,5,2,4,5,4,2
"Basel",3,4,5,2,2,4,4
"Basel",2,5,4,1,3,1,4
"Basel",4,2,5,3,5,3,5
"Basel",1,4,1,4,2,2,1
"Basel",2,4,3,2,4,2,3
"Basel",4,5,2,2,4,4,1
"Basel",1,3,3,1,2,2,2
"Basel",4,5,5,4,4,5,4
"Basel",4,4,5,3,3,2,4
"Basel",2,5,3,3,3,3,4
"Basel",4,4,2,4,4,3,4
"Basel",1,5,1,2,3,2,1
"Basel",2,4,4,2,4,2,3
"Basel",3,3,5,3,3,2,5
"Basel",2,5,4,2,5,1,5
"Basel",2,4,2,1,5,2,4
"Basel",4,4,4,4,4,5,4
"Basel",3,4,1,4,5,4,2
"Basel",3,4,4,4,5,3,2
"Basel",3,4,4,4,4,2,4
"Basel",1,4,5,2,4,2,3
"Basel",5,4,5,2,3,3,4
"Basel",2,4,1,2,4,4,4
"Basel",3,4,3,3,5,2,2
"Basel",4,4,4,4,3,4,4
"Basel",2,2,2,1,4,1,2
"Basel",4,4,3,2,3,2,4
"Basel",2,4,4,4,4,2,5
"Basel",5,5,5,2,4,4,2
"Basel",3,4,4,2,2,4,3
"Basel",3,3,5,3,4,4,4
"Basel",4,4,4,2,2,4,4
"Basel",3,4,4,3,2,2,3
"Basel",2,4,2,4,4,2,2
"Basel",2,4,2,4,3,4,4
"Basel",2,2,4,2,4,2,4
"Basel",4,4,4,2,5,4,4
"Basel",2,4,4,1,1,2,4
"Basel",2,5,4,4,4,2,4
"Basel",4,4,4,2,3,4,4
"Basel",1,2,5,3,4,3,4
"Basel",4,4,2,3,4,2,1
"Basel",2,4,4,2,4,2,4
"Basel",4,5,3,1,2,2,4
"Basel",2,4,3,3,4,2,5
"Basel",1,2,1,1,3,1,1
"Basel",3,4,4,4,3,2,1
"Basel",1,5,4,2,5,2,2
"Basel",2,4,4,3,5,2,4
"Basel",3,3,3,1,3,1,2
"Dortmund",3,4,1,3,4,2,4
"Dortmund",1,2,4,3,3,3,4
"Dortmund",5,5,4,4,2,4,4
"Dortmund",2,4,5,2,3,2,4
"Dortmund",2,3,3,2,3,3,3
"Dortmund",5,5,5,2,3,4,4
"Dortmund",4,4,4,4,4,2,3
"Dortmund",2,3,3,2,5,2,3
"Dortmund",5,4,4,2,1,5,5
"Dortmund",2,3,2,2,3,2,1
"Dortmund",2,4,3,4,4,4,1
"Dortmund",4,4,4,5,5,4,5
"Dortmund",4,3,3,4,5,3,2
"Dortmund",2,2,5,2,5,1,5
"Dortmund",3,5,5,3,5,3,4
"Dortmund",1,4,4,2,4,3,2
"Dortmund",2,2,2,1,5,1,2
"Dortmund",2,4,2,2,4,2,3
"Dortmund",4,5,5,4,3,3,4
"Dortmund",2,3,4,2,5,1,2
"Dortmund",4,4,4,2,4,2,5
"Dortmund",4,4,4,4,3,4,4
"Dortmund",2,3,2,2,4,2,2
"Dortmund",2,5,4,4,3,3,2
"Dortmund",4,4,4,4,2,3,4
"Dortmund",3,5,5,4,4,2,4
"Dortmund",4,5,5,2,4,3,3
"Dortmund",1,4,2,2,5,2,4
"Dortmund",1,5,4,2,4,2,5
